device_name;source_name;ip;port(i);url_publisher
STMI-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-DER-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-IZQ-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-DER-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-DALI-IZQ-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
