device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_gate_open(i)
MM-PTA1-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3227
MM-PTA2-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3228
CH-PTA1-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3229
CH-PTA2-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3230
LQ-PTA1-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3231
LQ-PTA2-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3232
COR-PTA1-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3233
COR-PTA2-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3234
COR-PTA3-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3235
COR-PTA4-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3236
COR-PTA5-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3237
COR-PTA6-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3238
STM2-PTA1-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3239
STM2-PTA2-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3240
NG-PTA1-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3241
NG-PTA2-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3242
CAS-PTA1-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3243
CAS-PTA2-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3244
CAS-PTA3-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3245
CAS-PTA4-GAL;PUERTAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3246
