device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_temperature(i);offset_alarm_air_conditioner(i);offset_alarm_door_open(i)
RV-CITS-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3925;2505;2506
RV-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3926;2507;2508
RV-CGBT-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3927;2509;2510
RV-CPCI-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3928;2511;2512
MM-CITS-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3929;2513;2514
MM-CGBT-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3930;2515;2516
MM-CPCI-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3931;2517;2518
STMI-CITS-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3932;2519;2520
STMI-CGBT-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3933;2521;2522
CAS-PCI-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3934;2523;2524
CAS-CGBT-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3935;2525;2526
CAS-CITS-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3936;2527;2528
CAS-CGBT-BM;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3937;2529;2530
CAS-CITS-BM;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3938;2531;2532
CH-CGBT-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3939;2533;2534
CH-CITS-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3940;2535;2536
CH-CPCI-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3941;2537;2538
COR-PCI-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3942;2539;2540
COR-CGBT-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3943;2541;2542
COR-CITS-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3944;2543;2544
COR-CITS-BM;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3945;2545;2546
COR-CGBT-BM;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3946;2547;2548
LQ-CGBT-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3947;2549;2550
LQ-CITS-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3948;2551;2552
LQ-PCI-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3949;2553;2554
EST-CITS-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3950;2555;2556
EST-CGBT-1;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3951;2557;2558
STM2-CITS-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3952;2559;2560
STM2-CGBT-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3953;2561;2562
NG-CITS-BM;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3954;2563;2564
NG-CPCI-BM;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3955;2565;2566
NG-CGBT-BM;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3956;2567;2568
NG-CITS-BC;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3957;2569;2570
MM-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3958;2571;2572
STMI-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3959;2573;2574
CAS-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3960;2575;2576
CH-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3961;2577;2578
COR-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3962;2579;2580
LQ-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3963;2581;2582
EST-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3964;2583;2584
STM2-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3965;2585;2586
NG-CBT;CT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3966;2587;2588
