device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_luminosity(i);offset_luminosity_real(i);offset_multiplier(i);offset_alarm_sensor(i)
RV-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2883;2884;2885;1652
RV-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2886;2887;2888;1653
MM-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2889;2890;2891;1654
MM-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2892;2893;2894;1655
LQ-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2895;2896;2897;1656
LQ-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2898;2899;2900;1657
CH-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2901;2902;2903;1658
CH-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2904;2905;2906;1659
CAS-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2907;2908;2909;1660
CAS-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2910;2911;2912;1661
COR-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2913;2914;2915;1662
COR-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2916;2917;2918;1663
STM2-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2919;2920;2921;1664
STM2-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2922;2923;2924;1665
NG-LUM-1MA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2925;2926;2927;1666
NG-LUM-1CA;LUM;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2928;2929;2930;1667
