device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_luminosity(i);offset_alarm_sensor(i);offset_alarm_fa(i)
RV-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2770;1520;1521
RV-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2771;1522;1523
RV-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2772;1524;1525
RV-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2773;1526;1527
RV-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2774;1528;1529
RV-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2775;1530;1531
RV-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2776;1532;1533
RV-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2777;1534;1535
MM-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2778;1536;1537
MM-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2779;1538;1539
MM-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2780;1540;1541
MM-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2781;1542;1543
MM-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2782;1544;1545
MM-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2783;1546;1547
MM-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2784;1548;1549
MM-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2785;1550;1551
LQ-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2786;1552;1553
LQ-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2787;1554;1555
LQ-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2788;1556;1557
LQ-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2789;1558;1559
LQ-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2790;1560;1561
LQ-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2791;1562;1563
LQ-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2792;1564;1565
LQ-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2793;1566;1567
CH-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2794;1568;1569
CH-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2795;1570;1571
CH-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2796;1572;1573
CH-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2797;1574;1575
CH-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2798;1576;1577
CH-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2799;1578;1579
CH-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2800;1580;1581
CH-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2801;1582;1583
CAS-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2802;1584;1585
CAS-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2803;1586;1587
CAS-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2804;1588;1589
CAS-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2805;1590;1591
CAS-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2806;1592;1593
CAS-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2807;1594;1595
CAS-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2808;1596;1597
CAS-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2809;1598;1599
COR-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2810;1600;1601
COR-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2811;1602;1603
COR-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2812;1604;1605
COR-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2813;1606;1607
COR-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2814;1608;1609
COR-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2815;1610;1611
COR-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2816;1612;1613
COR-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2817;1614;1615
STM2-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2818;1616;1617
STM2-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2819;1618;1619
STM2-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2820;1620;1621
STM2-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2821;1622;1623
STM2-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2822;1624;1625
STM2-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2823;1626;1627
STM2-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2824;1628;1629
STM2-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2825;1630;1631
NG-LUX-1MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2826;1632;1633
NG-LUX-2MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2827;1634;1635
NG-LUX-3MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2828;1636;1637
NG-LUX-4MA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2829;1638;1639
NG-LUX-1CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2830;1640;1641
NG-LUX-2CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2831;1642;1643
NG-LUX-3CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2832;1644;1645
NG-LUX-4CA;LUX;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2833;1646;1647
