device_name;url_publisher
LQ-PLC-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-4MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCL-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCL-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLC-CGBT-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLC-CGBT-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-4CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-5CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCG1-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCG2-MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-4MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PLCSI-5MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCL-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLC-CGBT-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCSI-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCSI-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCL-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCSI-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PLCSI-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PLCL-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PLC-CGBT;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PLCE-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCL-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
