item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;S1TS-LUM-001;S1TS-LUM-001;S1TS-LUM-001;AVO;;Secc.01-10-14;36+90;;600
2;INKP-LUM-001;INKP-LUM-001;INKP-LUM-001;AVO;;Secc.02-29-04;0+31;;310
3;IVIP-LUM-001;IVIP-LUM-001;IVIP-LUM-001;AVO;IVIP_EXT;Secc.02-16-04;3+04;;3040
4;IPRO-LUM-001;IPRO-LUM-001;IPRO-LUM-001;AVO;;Secc.03-57-10;4+08;;4080
5;ICCO-LUM-001;ICCO-LUM-001;ICCO-LUM-001;AVO;;Secc.03-258-09;5+03;;5030
6;ICCP-LUM-001;ICCP-LUM-001;ICCP-LUM-001;AVO;ICCP_EXT;Secc.02-256-07;6+05;;6050
7;IBTO-LUM-001;IBTO-LUM-001;IBTO-LUM-001;AVO;;Secc.03-255-08;7+135;;7135
