item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;CT01-CCI-001.Z1PUL1;CT01-CCI-001.Z1PUL1;CT01-CCI-001.Z1PUL1;AVO;;Secc.01-10-14;36+920;;620
2;CT01-CCI-001.Z3PUL1;CT01-CCI-001.Z3PUL1;CT01-CCI-001.Z3PUL1;AVO;;Secc.01-10-14;36+920;;620
3;CT02-CCI-001.Z2PUL1;CT02-CCI-001.Z2PUL1;CT02-CCI-001.Z2PUL1;AVO;;Secc.01-10-01;38+048;;1748
4;CT02-CCI-001.Z3PUL1;CT02-CCI-001.Z3PUL1;CT02-CCI-001.Z3PUL1;AVO;;Secc.01-10-01;38+048;;1748
5;CT03-CCI-001.Z1PUL2;CT03-CCI-001.Z1PUL2;CT03-CCI-001.Z1PUL2;AVO;;Secc.01-11-12;39+015;;2715
6;CT03-CCI-001.Z3PUL1;CT03-CCI-001.Z3PUL1;CT03-CCI-001.Z3PUL1;AVO;;Secc.01-11-12;39+015;;2715
7;CT03-CCI-001.Z1PUL1;CT03-CCI-001.Z1PUL1;CT03-CCI-001.Z1PUL1;AVO;;Secc.01-11-12;39+015;;2715
8;CT04-CCI-001.Z1PUL1;CT04-CCI-001.Z1PUL1;CT04-CCI-001.Z1PUL1;AVO;;Secc.02-10-04;40+37;;4070
9;CT04-CCI-001.Z2PUL1;CT04-CCI-001.Z2PUL1;CT04-CCI-001.Z2PUL1;AVO;;Secc.02-10-04;40+37;;4070
10;CT04-CCI-001.Z2PUL2;CT04-CCI-001.Z2PUL2;CT04-CCI-001.Z2PUL2;AVO;;Secc.02-10-04;40+37;;4070
11;CT04-CCI-001.Z2PUL3;CT04-CCI-001.Z2PUL3;CT04-CCI-001.Z2PUL3;AVO;;Secc.02-10-04;40+37;;4070
12;CT05-CCI-001.Z2PUL2;CT05-CCI-001.Z2PUL2;CT05-CCI-001.Z2PUL2;AVO;;Secc.03-11-11;41+415;;5115
13;CT05-CCI-001.Z2PUL3;CT05-CCI-001.Z2PUL3;CT05-CCI-001.Z2PUL3;AVO;;Secc.03-11-11;41+415;;5115
14;CT05-CCI-001.Z2PUL1;CT05-CCI-001.Z2PUL1;CT05-CCI-001.Z2PUL1;AVO;;Secc.03-11-11;41+415;;5115
15;CT05-CCI-001.Z2PUL4;CT05-CCI-001.Z2PUL4;CT05-CCI-001.Z2PUL4;AVO;;Secc.03-11-11;41+415;;5115
16;CT06-CCI-001.Z5PUL1;CT06-CCI-001.Z5PUL1;CT06-CCI-001.Z5PUL1;AVO;;Secc.02-10-05;42+58;;6280
17;CT06-CCI-001.Z3PUL1;CT06-CCI-001.Z3PUL1;CT06-CCI-001.Z3PUL1;AVO;;Secc.02-10-05;42+58;;6280
18;CT06-CCI-001.Z2PUL1;CT06-CCI-001.Z2PUL1;CT06-CCI-001.Z2PUL1;AVO;;Secc.02-10-05;42+58;;6280
19;CT06-CCI-001.Z1PUL1;CT06-CCI-001.Z1PUL1;CT06-CCI-001.Z1PUL1;AVO;;Secc.02-10-05;42+58;;6280
20;CT07-CCI-001.Z2PUL2;CT07-CCI-001.Z2PUL2;CT07-CCI-001.Z2PUL2;AVO;;Secc.02-10-06;43+52;;7220
21;CT07-CCI-001.Z1PUL1;CT07-CCI-001.Z1PUL1;CT07-CCI-001.Z1PUL1;AVO;;Secc.02-10-06;43+52;;7220
22;CT07-CCI-001.Z2PUL1;CT07-CCI-001.Z2PUL1;CT07-CCI-001.Z2PUL1;AVO;;Secc.02-10-06;43+52;;7220
23;CT08-CCI-001.Z1PUL1;CT08-CCI-001.Z1PUL1;CT08-CCI-001.Z1PUL1;AVO;;Secc.03-11-08;44+52;;8220
24;CT08-CCI-001.Z3PUL1;CT08-CCI-001.Z3PUL1;CT08-CCI-001.Z3PUL1;AVO;;Secc.03-11-08;44+52;;8220
25;CT08-CCI-001.Z4PUL2;CT08-CCI-001.Z4PUL2;CT08-CCI-001.Z4PUL2;AVO;;Secc.03-11-08;44+52;;8220
