item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;1ER1-ELE-001.SEAbiertaN2;1ER1-ELE-001.SEAbiertaN2;1ER1-ELE-001.SEAbiertaN2;AVO;;Secc.01-25-01;0+35;;345
2;1ER2-ELE-001.SEAbiertaN2;1ER2-ELE-001.SEAbiertaN2;1ER2-ELE-001.SEAbiertaN2;AVO;;Secc.01-25-01;0+58;;580
3;1ES0-ELE-001.SEAbiertaN2;1ES0-ELE-001.SEAbiertaN2;1ES0-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-14;36+92;;620
4;1E01-ELE-001.SEAbiertaN2;1E01-ELE-001.SEAbiertaN2;1E01-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-01;37+05;;754
5;1E02-ELE-001.SEAbiertaN2;1E02-ELE-001.SEAbiertaN2;1E02-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-01;37+30;;1003
7;1E03-ELE-001.SEAbiertaN2;1E03-ELE-001.SEAbiertaN2;1E03-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-01;37+55;;1253
8;1E04-ELE-001.SEAbiertaN2;1E04-ELE-001.SEAbiertaN2;1E04-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-01;37+80;;1495
9;1E05-ELE-001.SEAbiertaN2;1E05-ELE-001.SEAbiertaN2;1E05-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-02;38+05;;1748
10;1E06-ELE-001.SEAbiertaN2;1E06-ELE-001.SEAbiertaN2;1E06-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-02;38+30;;1999
11;1E07-ELE-001.SEAbiertaN2;1E07-ELE-001.SEAbiertaN2;1E07-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-02;38+55;;2248
12;1E08-ELE-001.SEAbiertaN2;1E08-ELE-001.SEAbiertaN2;1E08-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-02;38+73;;2428
13;1ES1-ELE-001.SEAbiertaN2;1ES1-ELE-001.SEAbiertaN2;1ES1-ELE-001.SEAbiertaN2;AVO;;Secc.01-86-02;2+56;;2560
14;1ES2-ELE-001.SEAbiertaN2;1ES2-ELE-001.SEAbiertaN2;1ES2-ELE-001.SEAbiertaN2;AVO;;Secc.01-10-03;39+11;;2810
15;1ES3-ELE-002.SEAbiertaN2;1ES3-ELE-002.SEAbiertaN2;1ES3-ELE-002.SEAbiertaN2;AVO;;Secc.01-10-03;39+35;;3050
16;1ES4-ELE-002.SEAbiertaN2;1ES4-ELE-002.SEAbiertaN2;1ES4-ELE-002.SEAbiertaN2;AVO;;Secc.01-10-03;39+59;;3290
17;2E03-ELE-002.SEAbiertaN2;2E03-ELE-002.SEAbiertaN2;2E03-ELE-002.SEAbiertaN2;AVO;;Secc.01-10-03;39+8;;3500
18;2E04-ELE-002.SEAbiertaN2;2E04-ELE-002.SEAbiertaN2;2E04-ELE-002.SEAbiertaN2;AVO;;Secc.01-10-03;39+967;;3667
19;2E05-ELE-002.SEAbiertaN2;2E05-ELE-002.SEAbiertaN2;2E05-ELE-002.SEAbiertaN2;AVO;;Secc.01-10-03;40+22;;3920
20;2E06-ELE-002.SEAbiertaN2;2E06-ELE-002.SEAbiertaN2;2E06-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-04;40+45;;4150
21;2E07-ELE-002.SEAbiertaN2;2E07-ELE-002.SEAbiertaN2;2E07-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-04;40+7;;4400
22;2E08-ELE-002.SEAbiertaN2;2E08-ELE-002.SEAbiertaN2;2E08-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-04;40+95;;4650
23;2E09-ELE-002.SEAbiertaN2;2E09-ELE-002.SEAbiertaN2;2E09-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-04;41+04;;4740
24;2E10-ELE-002.SEAbiertaN2;2E10-ELE-002.SEAbiertaN2;2E10-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-04;41+28;;4980
25;2E11-ELE-002.SEAbiertaN2;2E11-ELE-002.SEAbiertaN2;2E11-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-04;41+41;;5110
26;2E12-ELE-002.SEAbiertaN2;2E12-ELE-002.SEAbiertaN2;2E12-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-05;41+695;;5395
27;2E13-ELE-002.SEAbiertaN2;2E13-ELE-002.SEAbiertaN2;2E13-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-05;41+85;;5550
28;2E14-ELE-002.SEAbiertaN2;2E14-ELE-002.SEAbiertaN2;2E14-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-05;42+075;;5775
29;2E15-ELE-002.SEAbiertaN2;2E15-ELE-002.SEAbiertaN2;2E15-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-05;42+23;;5930
30;2E16-ELE-002.SEAbiertaN2;2E16-ELE-002.SEAbiertaN2;2E16-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-05;42+455;;6155
