root_device;signal;id;device;channel;description;controller;inverseLogic;xAddress;xStatusAddress
Central de alarmas SMT2 Sentido CA;zonesAlarm;1;Siemens_OTS_CA;DI0;STM2-OTS CA Alarma Zona 1;OTS;false;1000;1200
Central de alarmas STM2 Sentido CA;zonesAlarm;2;Siemens_OTS_CA;DI1;STM2-OTS CA Alarma Zona 2;OTS;false;1001;1201
Central de alarmas STM2 Sentido CA;zonesAlarm;3;Siemens_OTS_CA;DI2;STM2-OTS CA Alarma Zona 3;OTS;false;1002;1202
Central de alarmas STM2 Sentido CA;zonesAlarm;4;Siemens_OTS_CA;DI3;STM2-OTS CA Alarma Zona 4;OTS;false;1003;1203
Central de alarmas STM2 Sentido CA;zonesAlarm;5;Siemens_OTS_CA;DI4;STM2-OTS CA Alarma Zona 5;OTS;false;1004;1204
Central de alarmas STM2 Sentido CA;zonesAlarm;6;Siemens_OTS_CA;DI5;STM2-OTS CA Alarma Zona 6;OTS;false;1005;1205
Central de alarmas STM2 Sentido CA;zonesAlarm;7;Siemens_OTS_CA;DI6;STM2-OTS CA Alarma Zona 7;OTS;false;1006;1206
Central de alarmas STM2 Sentido CA;fiberFaultAlarm;1;Siemens_OTS_CA;DI2000;STM2-OTS CA Alarma fibra Zona 1;OTS;false;1007;1207
Central de alarmas STM2 Sentido CA;fiberFaultAlarm;2;Siemens_OTS_CA;DI2001;STM2-OTS CA Alarma fibra Zona 2;OTS;false;1008;1208
Central de alarmas STM2 Sentido CA;fiberFaultAlarm;3;Siemens_OTS_CA;DI2002;STM2-OTS CA Alarma fibra Zona 3;OTS;false;1009;1209
Central de alarmas STM2 Sentido CA;fiberFaultAlarm;4;Siemens_OTS_CA;DI2003;STM2-OTS CA Alarma fibra Zona 4;OTS;false;1010;1210
Central de alarmas STM2 Sentido CA;fiberFaultAlarm;5;Siemens_OTS_CA;DI2004;STM2-OTS CA Alarma fibra Zona 5;OTS;false;1011;1211
Central de alarmas STM2 Sentido CA;fiberFaultAlarm;6;Siemens_OTS_CA;DI2005;STM2-OTS CA Alarma fibra Zona 6;OTS;false;1012;1212
