item;stretch_type;alias;description;pk_ini;pk_end;lanes;road
1047;IncidentReport;CAS-TSM+776;Sector TSM+776 del tubo sentido Málaga en el tunel de Casares;0.0;0.0;0;AP7 - AUSOL II
1048;IncidentReport;CAS-TSM+1055;Sector TSM+1055 del tubo sentido Málaga en el tunel de Casares;0.0;0.0;0;AP7 - AUSOL II
1049;IncidentReport;CAS-TSC+286;Sector TSC+286 del tubo sentido Cádiz en el tunel de Casares;0.0;0.0;0;AP7 - AUSOL II
1050;IncidentReport;CAS-TSC+573;Sector TSC+573 del tubo sentido Cádiz en el tunel de Casares;0.0;0.0;0;AP7 - AUSOL II
1051;IncidentReport;CAS-TSC+828;Sector TSC+828 del tubo sentido Cádiz en el tunel de Casares;0.0;0.0;0;AP7 - AUSOL II
1052;IncidentReport;CAS-TSC+1084;Sector TSC+1084 del tubo sentido Cádiz en el tunel de Casares;0.0;0.0;0;AP7 - AUSOL II
1053;IncidentReport;COR-TUNEL;Tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1054;IncidentReport;COR-TSM	Boca;sentido Málaga del tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1055;IncidentReport;COR-TSC	Boca;sentido Cádiz del tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1056;IncidentReport;COR-TSM+205;Sector TSM+249 del tubo sentido Málaga en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1057;IncidentReport;COR-TSM+410;Sector TSM+410 del tubo sentido Málaga en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1058;IncidentReport;COR-TSM+673;Sector TSM+673 del tubo sentido Málaga en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1059;IncidentReport;COR-TSM+937;Sector TSM+937 del tubo sentido Málaga en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1060;IncidentReport;COR-TSC+263;Sector TSC+263 del tubo sentido Cádiz en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1061;IncidentReport;COR-TSC+527;Sector TSC+527 del tubo sentido Cádiz en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1062;IncidentReport;COR-TSC+732;Sector TSC+732 del tubo sentido Cádiz en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1063;IncidentReport;COR-TSC+937;Sector TSC+937 del tubo sentido Cádiz en el tunel de Corominas;0.0;0.0;0;AP7 - AUSOL II
1064;IncidentReport;STMII-TUNEL;Tunel de Santa María II;0.0;0.0;0;AP7 - AUSOL II
1065;IncidentReport;STMII-TSM;Boca sentido Málaga del tunel de Santa María II;0.0;0.0;0;AP7 - AUSOL II
1066;IncidentReport;STMII-TSC;Boca sentido Cádiz del tunel de Santa María II;0.0;0.0;0;AP7 - AUSOL II
1067;IncidentReport;STMII-TSM+157;Sector TSM+157 del tubo sentido Málaga en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
1068;IncidentReport;STMII-TSM+314;Sector TSM+314 del tubo sentido Málaga en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
1069;IncidentReport;STMII-TSM+433;Sector TSM+433 del tubo sentido Málaga en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
1070;IncidentReport;STMII-TSM+553;Sector TSM+553 del tubo sentido Málaga en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
1071;IncidentReport;STMII-TSC+115;Sector TSM+115 del tubo sentido Cadíz en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
1072;IncidentReport;STMII-TSC+230;Sector TSM+230 del tubo sentido Cadíz en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
