item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-DEP-GE;RV-DEP-GE;RV-DEP-GE;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;LQ-DEP-GE;LQ-DEP-GE;LQ-DEP-GE;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
4;MM-DEP-GE;MM-DEP-GE;MM-DEP-GE;AP7 - AUSOL I;MM-TUNEL;177+317;CA
5;CAS-DEP-GE-BM;CAS-DEP-GE-BM;CAS-DEP-GE-BM;AP7 - AUSOL II;CAS-TUNEL;177+317;CA
6;CAS-DEP-GE-BC;CAS-DEP-GE-BC;CAS-DEP-GE-BC;AP7 - AUSOL II;CAS-TUNEL;177+317;CA
7;CH-DEP-GE;CH-DEP-GE;CH-DEP-GE;AP7 - AUSOL I;CH-TUNEL;199+765;CA
9;NG-DEP-GE;NG-DEP-GE;NG-DEP-GE;AP7 - AUSOL I;NG-TUNEL;177+317;CA
10;STM2-DEP-GE;STM2-DEP-GE;STM2-DEP-GE;AP7 - AUSOL II;STMII-TUNEL;177+317;CA
11;COR-DEP-GE-BM;COR-DEP-GE-BM;COR-DEP-GE-BM;AP7 - AUSOL II;COR-TUNEL;173+900;CA
12;COR-DEP-GE-BC;COR-DEP-GE-BC;COR-DEP-GE-BC;AP7 - AUSOL II;COR-TUNEL;173+900;CA
