item;alias;description;sessionuid;road;stretchs;pk;sentido;param2_entrance_tunnel_distance
1;LQ-SMF-RAV-1MA;LQ-SMF-RAV-1MA;LQ-SMF-RAV-1MA;Carretera Tunel;Carretera;172+517;MA;0
2;LQ-SMF-RAV-1CA;LQ-SMF-RAV-1CA;LQ-SMF-RAV-1CA;Carretera Tunel;Carretera;173+677;CA;0
