item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model
1;ETD-1;ETD-1;ETD-1;BA;BA;173+900;MA;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
2;ETD-2;ETD-2;ETD-2;BA;BA;173+900;MA;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
3;ETD-3;ETD-3;ETD-3;BA;BA;173+900;MA;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
4;ETD-4;ETD-4;ETD-4;BA;BA;173+900;MA;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
5;ETD-5;ETD-5;ETD-5;BA;BA;173+900;MA;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
6;ETD-6;ETD-6;ETD-6;BA;BA;173+900;MA;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
