item;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;Dvere_1;Dvere_1;D4;D4_2:Rusovce-Ketelec;;4,76;-;;
2;Dvere_2;Dvere_2;D4;D4_2:Rusovce-Ketelec;;4,76;-;;
3;Dvere_3;Dvere_3;D4;D4_2:Rusovce-Ketelec;;5,484;-;;
4;Dvere_4;Dvere_4;D4;D4_2:Rusovce-Ketelec;;5,589;-;;
5;Dvere_5;Dvere_5;D4;D4_2:Rusovce-Ketelec;;5,907;-;;
6;Dvere_6;Dvere_6;D4;D4_2:Rusovce-Ketelec;;6,013;-;;
7;Dvere_7;Dvere_7;D4;D4_2:Rusovce-Ketelec;;6,334;-;;
8;Dvere_8;Dvere_8;D4;D4_2:Rusovce-Ketelec;;6,441;-;;
9;Dvere_9;Dvere_9;D4;D4_2:Rusovce-Ketelec;;7,656;-;;
10;Dvere_10;Dvere_10;D4;D4_2:Rusovce-Ketelec;;7,656;-;;
