item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model
1;SNO-1-01-CE;SNO-1-01-CE;SNO-1-01-CE;Autovía A-44;La Cerradura;;Granada;;;
2;SNO-1-02-CE;SNO-1-02-CE;SNO-1-02-CE;Autovía A-44;La Cerradura;;Granada;;;
3;SNO-2-01-CE;SNO-2-01-CE;SNO-2-01-CE;Autovía A-44;La Cerradura;;Jaén;;;
4;SNO-2-02-CE;SNO-2-02-CE;SNO-2-02-CE;Autovía A-44;La Cerradura;;Jaén;;;
