item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state
1;TUN-CT-CGBT-HUM-1;TUN-CT-CGBT-HUM-1;TUN-CT-CGBT-HUM-1;Carretera Tunel;Carretera;173+900;CA;
2;TUN-CT-CGBT-HUM-2;TUN-CT-CGBT-HUM-2;TUN-CT-CGBT-HUM-2;Carretera Tunel;Carretera;173+900;CA;
3;TUN-CT-ITS-HUM-1;TUN-CT-ITS-HUM-1;TUN-CT-ITS-HUM-1;Carretera Tunel;Carretera;173+900;CA;
4;TUN-CT-ITS-HUM-2;TUN-CT-ITS-HUM-2;TUN-CT-ITS-HUM-2;Carretera Tunel;Carretera;173+900;CA;
5;TUN-CT-PCI-HUM-1;TUN-CT-PCI-HUM-1;TUN-CT-PCI-HUM-1;Carretera Tunel;Carretera;173+900;CA;
6;TUN-CT-PCI-HUM-2;TUN-CT-PCI-HUM-2;TUN-CT-PCI-HUM-2;Carretera Tunel;Carretera;173+900;CA;
7;HOSP-HUM-L1-ORTH;HOSP-HUM-L1-ORTH;HOSP-HUM-L1-ORTH;Nicklaus Childrens Hospital;Hosp P1;;;
8;HOSP-HUM-L1-REH;HOSP-HUM-L1-REH;HOSP-HUM-L1-REH;Nicklaus Childrens Hospital;Hosp P1;;;
9;HOSP-HUM-L1-VAR;HOSP-HUM-L1-VAR;HOSP-HUM-L1-VAR;Nicklaus Childrens Hospital;Hosp P1;;;
10;HOSP-HUM-L1-ENT;HOSP-HUM-L1-ENT;HOSP-HUM-L1-ENT;Nicklaus Childrens Hospital;Hosp P1;;;
11;HOSP-HUM-L1-SPIC;HOSP-HUM-L1-SPIC;HOSP-HUM-L1-SPIC;Nicklaus Childrens Hospital;Hosp P1;;;
12;HOSP-HUM-L1-CENT;HOSP-HUM-L1-CENT;HOSP-HUM-L1-CENT;Nicklaus Childrens Hospital;Hosp P1;;;
13;HOSP-HUM-L1-TOW;HOSP-HUM-L1-TOW;HOSP-HUM-L1-TOW;Nicklaus Childrens Hospital;Hosp P1;;;
14;HOSP-HUM-L1-HEON;HOSP-HUM-L1-HEON;HOSP-HUM-L1-HEON;Nicklaus Childrens Hospital;Hosp P1;;;
15;HOSP-HUM-L1-RHE;HOSP-HUM-L1-RHE;HOSP-HUM-L1-RHE;Nicklaus Childrens Hospital;Hosp P1;;;
16;HOSP-HUM-L1-END;HOSP-HUM-L1-END;HOSP-HUM-L1-END;Nicklaus Childrens Hospital;Hosp P1;;;
17;HOSP-HUM-L1-OURE;HOSP-HUM-L1-OURE;HOSP-HUM-L1-OURE;Nicklaus Childrens Hospital;Hosp P1;;;
18;HOSP-HUM-L1-EME;HOSP-HUM-L1-EME;HOSP-HUM-L1-EME;Nicklaus Childrens Hospital;Hosp P1;;;
19;HOSP-HUM-L1-OUT1;HOSP-HUM-L1-OUT1;HOSP-HUM-L1-OUT1;Nicklaus Childrens Hospital;Hosp P1;;;
20;HOSP-HUM-L1-OUT2;HOSP-HUM-L1-OUT2;HOSP-HUM-L1-OUT2;Nicklaus Childrens Hospital;Hosp P1;;;
21;HOSP-HUM-L2-VAR;HOSP-HUM-L2-VAR;HOSP-HUM-L2-VAR;Nicklaus Childrens Hospital;Hosp P2;;;
22;HOSP-HUM-L2-MIN;HOSP-HUM-L2-MIN;HOSP-HUM-L2-MIN;Nicklaus Childrens Hospital;Hosp P2;;;
23;HOSP-HUM-L2-CENT1;HOSP-HUM-L2-CENT1;HOSP-HUM-L2-CENT1;Nicklaus Childrens Hospital;Hosp P2;;;
24;HOSP-HUM-L2-CENT2;HOSP-HUM-L2-CENT2;HOSP-HUM-L2-CENT2;Nicklaus Childrens Hospital;Hosp P2;;;
25;HOSP-HUM-L2-CENT3;HOSP-HUM-L2-CENT3;HOSP-HUM-L2-CENT3;Nicklaus Childrens Hospital;Hosp P2;;;
26;HOSP-HUM-L2-TOW;HOSP-HUM-L2-TOW;HOSP-HUM-L2-TOW;Nicklaus Childrens Hospital;Hosp P2;;;
27;HOSP-HUM-L2-GAS;HOSP-HUM-L2-GAS;HOSP-HUM-L2-GAS;Nicklaus Childrens Hospital;Hosp P2;;;
28;HOSP-HUM-L2-PED;HOSP-HUM-L2-PED;HOSP-HUM-L2-PED;Nicklaus Childrens Hospital;Hosp P2;;;
29;HOSP-HUM-L2-CAR;HOSP-HUM-L2-CAR;HOSP-HUM-L2-CAR;Nicklaus Childrens Hospital;Hosp P2;;;
30;HOSP-HUM-L3-CENT1;HOSP-HUM-L3-CENT1;HOSP-HUM-L3-CENT1;Nicklaus Childrens Hospital;Hosp P3;;;
31;HOSP-HUM-L3-CENT2;HOSP-HUM-L3-CENT2;HOSP-HUM-L3-CENT2;Nicklaus Childrens Hospital;Hosp P3;;;
32;HOSP-HUM-L3-CENT3;HOSP-HUM-L3-CENT3;HOSP-HUM-L3-CENT3;Nicklaus Childrens Hospital;Hosp P3;;;
33;HOSP-HUM-L3-TOW;HOSP-HUM-L3-TOW;HOSP-HUM-L3-TOW;Nicklaus Childrens Hospital;Hosp P3;;;
34;HOSP-HUM-L3-NEP;HOSP-HUM-L3-NEP;HOSP-HUM-L3-NEP;Nicklaus Childrens Hospital;Hosp P3;;;
35;HOSP-HUM-L3-NEU;HOSP-HUM-L3-NEU;HOSP-HUM-L3-NEU;Nicklaus Childrens Hospital;Hosp P3;;;
36;HOSP-HUM-L3-OUT;HOSP-HUM-L3-OUT;HOSP-HUM-L3-OUT;Nicklaus Childrens Hospital;Hosp P3;;;
