item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param1004_citilog_dai_uid;dm
1;AVOITSDAI01;DAI;AVOITSDAI01;AVO;;Secc.01-10-01;37+05;;Citilog;DAI;AVOITSDAI01;750
2;AVOITSDAI02;DAI;AVOITSDAI02;AVO;;Secc.01-11-13;37+09;;Citilog;DAI;AVOITSDAI02;785
3;AVOITSDAI03;DAI;AVOITSDAI03;AVO;;Secc.01-10-02;38+60;;Citilog;DAI;AVOITSDAI03;2300
4;AVOITSDAI04;DAI;AVOITSDAI04;AVO;;Secc.01-11-13;37+73;;Citilog;DAI;AVOITSDAI04;1425
5;AVOITSDAI05;DAI;AVOITSDAI05;AVO;;Secc.01-10-03;39+10;;Citilog;DAI;AVOITSDAI05;2800
6;AVOITSDAI06;DAI;AVOITSDAI06;AVO;;Secc.03-11-10;42+08;;Citilog;DAI;AVOITSDAI06;5780
7;AVOITSDAI07;DAI;AVOITSDAI07;AVO;;Secc.03-11-10;42+6;;Citilog;DAI;AVOITSDAI07;6300
8;AVOITSDAI08;DAI;AVOITSDAI08;AVO;;Secc.02-10-06;42+85;;Citilog;DAI;AVOITSDAI08;6550
9;AVOITSDAI09;DAI;AVOITSDAI09;AVO;;Secc.03-11-10;43+23;;Citilog;DAI;AVOITSDAI09;6930
