element_type_id;element
1;meteo
2;camara
3;detector
4;section
5;pa_system
6;segment
7;zone
8;barrier
9;fan
10;rotapanel
11;sos
12;lux
13;sem
14;lum
15;fire_det
16;meg
17;anem_ext
18;anem_int
19;co
20;no
21;opac
22;valvulas
23;batteries
24;vms_A_C
25;electrical_cabinet
26;switch
27;plc
28;nas
29;fibrolaser_ct
30;radio
31;photocell
32;presurizacion
33;trafo
34;electrical_cabinet_SCN
35;no_element
36;no_element
37;no_element
38;no_element
39;no_element
40;no_element
41;electrical_cabinet_ATC
42;electrical_cabinet_NRL
43;electrical_cabinet_NRS
44;electrical_cabinet_TFA_3D
45;electrical_cabinet_TFA_Loops
46;electrical_cabinet_TOLL
47;electrical_cabinet_TU
48;vms_CPU
49;vms_graphics
50;roadway
51;etd
52;camera_detector_DAI
53;sem_ambar_ambar
54;etd_kineo
55;ct
56;unifilar
57;magnetotermico
58;pulsador
59;smoke_detector
60;sirena
61;fire_det_ct
62;temp_probe
63;air_conditioner
64;vms_snow
65;sai
66;vane
67;sem_rojo_rojo
68;tfa_3d
69;vms_Weight
70;analizador_red
71;panel
72;subpanel
73;matrixPanel
74;eru
75;grupo_electrogeno
76;no_element
77;no_element
78;no_element
79;no_element
80;no_element
81;visibilimeter
82;accelerometer
83;radar
84;lighting_circuit
85;dali
86;pump
87;tank
88;leak_water_sensor
89;gate
90;no_element
91;bus_dali
92;electrical_protection
93;transfer_group
94;call_system
95;no_element
96;pa_groups
97;no_element
98;no_element
99;no_element
100;no_element
101;no_element
102;no_element
103;no_element
104;no_element
105;no_element
106;no_element
107;no_element
108;no_element
109;no_element
110;no_element
111;no_element
112;no_element
113;no_element
114;no_element
115;no_element
116;no_element
117;no_element
118;no_element
119;no_element
120;no_element
121;no_element
122;no_element
123;no_element
124;no_element
125;no_element
126;no_element
127;no_element
128;no_element
129;no_element
130;no_element
131;no_element
132;no_element
133;no_element
134;no_element
135;no_element
136;no_element
137;no_element
138;no_element
139;no_element
140;no_element
141;no_element
142;no_element
143;no_element
144;no_element
145;no_element
146;no_element
147;no_element
148;no_element
149;no_element
150;no_element
151;no_element
152;no_element
153;no_element
154;no_element
155;no_element
156;no_element
157;no_element
158;no_element
159;no_element
160;no_element
161;no_element
162;no_element
163;no_element
164;no_element
165;no_element
166;no_element
167;no_element
168;no_element
169;no_element
170;no_element
171;no_element
172;no_element
173;no_element
174;no_element
175;no_element
176;no_element
177;no_element
178;no_element
179;no_element
180;no_element
181;no_element
182;no_element
183;no_element
184;no_element
185;no_element
186;no_element
187;no_element
188;no_element
189;no_element
190;no_element
191;no_element
192;no_element
193;no_element
194;no_element
195;no_element
196;no_element
197;no_element
198;no_element
199;no_element
200;no_element
201;no_element
202;no_element
203;no_element
204;no_element
205;no_element
206;no_element
207;no_element
208;no_element
209;no_element
210;no_element
211;no_element
212;no_element
213;no_element
214;no_element
215;no_element
216;no_element
217;no_element
218;no_element
219;no_element
220;no_element
221;no_element
222;no_element
223;no_element
224;no_element
225;no_element
226;no_element
227;no_element
228;no_element
229;no_element
230;no_element
231;no_element
232;no_element
233;no_element
234;no_element
235;no_element
236;no_element
237;no_element
238;no_element
239;no_element
240;no_element
241;no_element
242;no_element
243;no_element
244;no_element
245;no_element
246;no_element
247;no_element
248;no_element
249;no_element
250;no_element
251;no_element
252;no_element
253;no_element
254;no_element
255;no_element
256;no_element
257;no_element
258;no_element
259;no_element
260;no_element
261;no_element
262;no_element
263;no_element
264;no_element
265;no_element
266;no_element
267;no_element
268;no_element
269;no_element
270;no_element
271;no_element
272;no_element
273;no_element
274;no_element
275;no_element
276;no_element
277;no_element
278;no_element
279;no_element
280;no_element
281;no_element
282;no_element
283;no_element
284;no_element
285;no_element
286;no_element
287;no_element
288;no_element
289;no_element
290;no_element
291;no_element
292;no_element
293;no_element
294;no_element
295;no_element
296;no_element
297;no_element
298;no_element
299;no_element
300;no_element
301;no_element
302;no_element
303;no_element
304;no_element
305;no_element
306;no_element
307;no_element
308;no_element
309;no_element
310;no_element
311;no_element
312;no_element
313;no_element
314;no_element
315;no_element
316;no_element
317;no_element
318;no_element
319;no_element
320;no_element
321;no_element
322;no_element
323;no_element
324;no_element
325;no_element
326;no_element
327;no_element
328;no_element
329;no_element
330;no_element
331;no_element
332;no_element
333;no_element
334;no_element
335;no_element
336;no_element
337;no_element
338;no_element
339;no_element
340;no_element
341;no_element
342;no_element
343;no_element
344;no_element
345;no_element
346;no_element
347;no_element
348;no_element
349;no_element
350;no_element
351;no_element
352;no_element
353;no_element
354;no_element
355;no_element
356;no_element
357;no_element
358;no_element
359;no_element
360;no_element
361;no_element
362;no_element
363;no_element
364;no_element
365;no_element
366;no_element
367;no_element
368;no_element
369;no_element
370;no_element
371;no_element
372;no_element
373;no_element
374;no_element
375;no_element
376;no_element
377;no_element
378;no_element
379;no_element
380;no_element
381;no_element
382;no_element
383;no_element
384;no_element
385;no_element
386;no_element
387;no_element
388;no_element
389;no_element
390;no_element
391;no_element
392;no_element
393;no_element
394;no_element
395;no_element
396;no_element
397;no_element
398;no_element
399;no_element
400;no_element
401;no_element
402;no_element
403;no_element
404;no_element
405;no_element
406;no_element
407;no_element
408;no_element
409;no_element
410;no_element
411;no_element
412;no_element
413;no_element
414;no_element
415;no_element
416;no_element
417;no_element
418;no_element
419;no_element
420;no_element
421;no_element
422;no_element
423;no_element
424;no_element
425;no_element
426;no_element
427;no_element
428;no_element
429;no_element
430;no_element
431;no_element
432;no_element
433;no_element
434;no_element
435;no_element
436;no_element
437;no_element
438;no_element
439;no_element
440;no_element
441;no_element
442;no_element
443;no_element
444;no_element
445;no_element
446;no_element
447;no_element
448;no_element
449;no_element
450;no_element
451;no_element
452;no_element
453;no_element
454;no_element
455;no_element
456;no_element
457;no_element
458;no_element
459;no_element
460;no_element
461;no_element
462;no_element
463;no_element
464;no_element
465;no_element
466;no_element
467;no_element
468;no_element
469;no_element
470;no_element
471;no_element
472;no_element
473;no_element
474;no_element
475;no_element
476;no_element
477;no_element
478;no_element
479;no_element
480;no_element
481;no_element
482;no_element
483;no_element
484;no_element
485;no_element
486;no_element
487;no_element
488;no_element
489;no_element
490;no_element
491;no_element
492;no_element
493;no_element
494;no_element
495;no_element
496;no_element
497;no_element
498;no_element
499;no_element
500;no_element
501;no_element
502;no_element
503;no_element
504;no_element
505;no_element
506;no_element
507;no_element
508;no_element
509;no_element
510;no_element
511;no_element
512;no_element
513;no_element
514;no_element
515;no_element
516;no_element
517;no_element
518;no_element
519;no_element
520;no_element
521;no_element
522;no_element
523;no_element
524;no_element
525;no_element
526;no_element
527;no_element
528;no_element
529;no_element
530;no_element
531;no_element
532;no_element
533;no_element
534;no_element
535;no_element
536;no_element
537;no_element
538;no_element
539;no_element
540;no_element
541;no_element
542;no_element
543;no_element
544;no_element
545;no_element
546;no_element
547;no_element
548;no_element
549;no_element
550;no_element
551;no_element
552;no_element
553;no_element
554;no_element
555;no_element
556;no_element
557;no_element
558;no_element
559;no_element
560;no_element
561;no_element
562;no_element
563;no_element
564;no_element
565;no_element
566;no_element
567;no_element
568;no_element
569;no_element
570;no_element
571;no_element
572;no_element
573;no_element
574;no_element
575;no_element
576;no_element
577;no_element
578;no_element
579;no_element
580;no_element
581;no_element
582;no_element
583;no_element
584;no_element
585;no_element
586;no_element
587;no_element
588;no_element
589;no_element
590;no_element
591;no_element
592;no_element
593;no_element
594;no_element
595;no_element
596;no_element
597;no_element
598;no_element
599;no_element
600;no_element
601;no_element
602;no_element
603;no_element
604;no_element
605;no_element
606;no_element
607;no_element
608;no_element
609;no_element
610;no_element
611;no_element
612;no_element
613;no_element
614;no_element
615;no_element
616;no_element
617;no_element
618;no_element
619;no_element
620;no_element
621;no_element
622;no_element
623;no_element
624;no_element
625;no_element
626;no_element
627;no_element
628;no_element
629;no_element
630;no_element
631;no_element
632;no_element
633;no_element
634;no_element
635;no_element
636;no_element
637;no_element
638;no_element
639;no_element
640;no_element
641;no_element
642;no_element
643;no_element
644;no_element
645;no_element
646;no_element
647;no_element
648;no_element
649;no_element
650;no_element
651;no_element
652;no_element
653;no_element
654;no_element
655;no_element
656;no_element
657;no_element
658;no_element
659;no_element
660;no_element
661;no_element
662;no_element
663;no_element
664;no_element
665;no_element
666;no_element
667;no_element
668;no_element
669;no_element
670;no_element
671;no_element
672;no_element
673;no_element
674;no_element
675;no_element
676;no_element
677;no_element
678;no_element
679;no_element
680;no_element
681;no_element
682;no_element
683;no_element
684;no_element
685;no_element
686;no_element
687;no_element
688;no_element
689;no_element
690;no_element
691;no_element
692;no_element
693;no_element
694;no_element
695;no_element
696;no_element
697;no_element
698;no_element
699;no_element
700;no_element
701;no_element
702;no_element
703;no_element
704;no_element
705;no_element
706;no_element
707;no_element
708;no_element
709;no_element
710;no_element
711;no_element
712;no_element
713;no_element
714;no_element
715;no_element
716;no_element
717;no_element
718;no_element
719;no_element
720;no_element
721;no_element
722;no_element
723;no_element
724;no_element
725;no_element
726;no_element
727;no_element
728;no_element
729;no_element
730;no_element
731;no_element
732;no_element
733;no_element
734;no_element
735;no_element
736;no_element
737;no_element
738;no_element
739;no_element
740;no_element
741;no_element
742;no_element
743;no_element
744;no_element
745;no_element
746;no_element
747;no_element
748;no_element
749;no_element
750;no_element
751;no_element
752;no_element
753;no_element
754;no_element
755;no_element
756;no_element
757;no_element
758;no_element
759;no_element
760;no_element
761;no_element
762;no_element
763;no_element
