model;description;spinningStatusRegisterXAddress;spinningStatusRegisterXStatusAddress;spinningRegisterXAddress;spinningRegisterXStatusAddress
A;COR-VENT-VF1-MA;16508;616;25028;626
A;COR-VENT-VF2-MA;16509;617;25029;627
A;COR-VENT-VF3-MA;16510;618;25030;628
A;COR-VENT-VF4-MA;16511;619;25031;629
A;COR-VENT-VF5-MA;16512;620;25032;630
A;COR-VENT-VF6-MA;16513;621;25033;631
A;COR-VENT-VF7-MA;16514;622;25034;632
A;COR-VENT-VF8-MA;16515;623;25035;633
A;COR-VENT-VF9-MA;16516;624;25036;634
A;COR-VENT-VF10-MA;16517;625;25037;635
