model;description;spinningStatusRegisterXAddress;spinningStatusRegisterXStatusAddress;spinningRegisterXAddress;spinningRegisterXStatusAddress
A;COR-VENT-VF1-CA;16500;600;25020;608
A;COR-VENT-VF2-CA;16501;601;25021;609
A;COR-VENT-VF3-CA;16502;602;25022;610
A;COR-VENT-VF4-CA;16503;603;25023;611
A;COR-VENT-VF5-CA;16504;604;25024;612
A;COR-VENT-VF6-CA;16505;605;25025;613
A;COR-VENT-VF7-CA;16506;606;25026;614
A;COR-VENT-VF8-CA;16507;607;25027;615
