item;alias;description;sessionuid;road;stretchs;pk;sentido
1;CAS-MG-Z1;CAS-MG-Z1;CAS-MG-Z1;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
2;CAS-MG-Z2;CAS-MG-Z2;CAS-MG-Z2;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
3;CAS-MG-Z3;CAS-MG-Z3;CAS-MG-Z3;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
4;CAS-MG-Z4;CAS-MG-Z4;CAS-MG-Z4;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
5;CAS-MG-Z5;CAS-MG-Z5;CAS-MG-Z5;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
6;CAS-MG-Z6;CAS-MG-Z6;CAS-MG-Z6;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
7;CAS-MG-Z7;CAS-MG-Z7;CAS-MG-Z7;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
8;CAS-MG-Z8;CAS-MG-Z8;CAS-MG-Z8;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
9;CAS-MEG-1MA;CAS-MEG-1MA;CAS-MEG-1MA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
10;CAS-MEG-2MA;CAS-MEG-2MA;CAS-MEG-2MA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
11;CAS-MEG-3MA;CAS-MEG-3MA;CAS-MEG-3MA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
12;CAS-MEG-4MA;CAS-MEG-4MA;CAS-MEG-4MA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
13;CAS-MEG-5MA;CAS-MEG-5MA;CAS-MEG-5MA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
14;CAS-MEG-1CA;CAS-MEG-1CA;CAS-MEG-1CA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
15;CAS-MEG-2CA;CAS-MEG-2CA;CAS-MEG-2CA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
16;CAS-MEG-3CA;CAS-MEG-3CA;CAS-MEG-3CA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
17;CAS-MEG-4CA;CAS-MEG-4CA;CAS-MEG-4CA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
18;CAS-MEG-5CA;CAS-MEG-5CA;CAS-MEG-5CA;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
19;CAS-MEG;CAS-MEG;CAS-MEG;AP7 - AUSOL I;CAS-TUNEL;199+793;CA
