root_device;signal;id;device;channel;description;controller;inverseLogic;xAddress;xStatusAddress
Central de alarmas EST Sentido MA;zonesAlarm;1;Siemens_OTS_MA;DI0;EST-OTS CA Alarma Zona 1;OTS;false;1000;1200
Central de alarmas EST Sentido MA;zonesAlarm;2;Siemens_OTS_MA;DI1;EST-OTS CA Alarma Zona 2;OTS;false;1001;1201
Central de alarmas EST Sentido MA;zonesAlarm;3;Siemens_OTS_MA;DI2;EST-OTS CA Alarma Zona 3;OTS;false;1002;1202
Central de alarmas EST Sentido MA;zonesAlarm;4;Siemens_OTS_MA;DI3;EST-OTS CA Alarma Zona 4;OTS;false;1003;1203
Central de alarmas EST Sentido MA;fiberFaultAlarm;1;Siemens_OTS_MA;DI2000;EST-OTS CA Alarma fibra Zona 1;OTS;false;1004;1204
Central de alarmas EST Sentido MA;fiberFaultAlarm;2;Siemens_OTS_MA;DI2001;EST-OTS CA Alarma fibra Zona 2;OTS;false;1005;1205
Central de alarmas EST Sentido MA;fiberFaultAlarm;3;Siemens_OTS_MA;DI2002;EST-OTS CA Alarma fibra Zona 3;OTS;false;1006;1206
Central de alarmas EST Sentido MA;fiberFaultAlarm;4;Siemens_OTS_MA;DI2003;EST-OTS CA Alarma fibra Zona 4;OTS;false;1007;1207
Central de alarmas EST Sentido MA;averageTemperature;1;Siemens_OTS_MA;AI4000;EST-OTS CA Temperatura media Zona 1;OTS;false;1008;1208
Central de alarmas EST Sentido MA;averageTemperature;2;Siemens_OTS_MA;AI4002;EST-OTS CA Temperatura media Zona 2;OTS;false;1010;1209
Central de alarmas EST Sentido MA;averageTemperature;3;Siemens_OTS_MA;AI4004;EST-OTS CA Temperatura media Zona 3;OTS;false;1012;1210
Central de alarmas EST Sentido MA;averageTemperature;4;Siemens_OTS_MA;AI4006;EST-OTS CA Temperatura media Zona 4;OTS;false;1014;1211
