item;alias;description;sessionuid;road;stretchs;pk;param1_brand;param2_model;param3_stream_mjpeg;
1;CAM-GP-1;CAM-GP-1;CAM-GP-1;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
2;CAM-GP-2;CAM-GP-2;CAM-GP-2;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
3;CAM-GP-3;CAM-GP-3;CAM-GP-3;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
4;CAM-GP-4;CAM-GP-4;CAM-GP-4;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
5;CAM-GP-5;CAM-GP-5;CAM-GP-5;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
6;CAM-GP-6;CAM-GP-6;CAM-GP-6;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
7;CAM-GP-7;CAM-GP-7;CAM-GP-7;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
8;CAM-GP-8;CAM-GP-8;CAM-GP-8;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
9;CAM-GP-9;CAM-GP-9;CAM-GP-9;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
10;CAM-GP-10;CAM-GP-10;CAM-GP-10;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
11;CAM-GP-11;CAM-GP-11;CAM-GP-11;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
12;CAM-GP-12;CAM-GP-12;CAM-GP-12;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
13;CAM-GP-13;CAM-GP-13;CAM-GP-13;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
14;CAM-GP-14;CAM-GP-14;CAM-GP-14;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
15;CAM-GP-15;CAM-GP-15;CAM-GP-15;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
16;CAM-GP-16;CAM-GP-16;CAM-GP-16;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
17;CAM-GP-17;CAM-GP-17;CAM-GP-17;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
18;CAM-PN-1;CAM-PN-1;CAM-PN-1;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
19;CAM-PN-2;CAM-PN-2;CAM-PN-2;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
20;CAM-PN-3;CAM-PN-3;CAM-PN-3;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
21;CAM-PN-4;CAM-PN-4;CAM-PN-4;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
22;CAM-PN-5;CAM-PN-5;CAM-PN-5;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
23;CAM-PN-6;CAM-PN-6;CAM-PN-6;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
24;CAM-PN-7;CAM-PN-7;CAM-PN-7;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
25;CAM-PN-8;CAM-PN-8;CAM-PN-8;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
26;CAM-PN-9;CAM-PN-9;CAM-PN-9;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
27;CAM-PN-10;CAM-PN-10;CAM-PN-10;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
28;CAM-PN-11;CAM-PN-11;CAM-PN-11;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
29;CAM-PN-12;CAM-PN-12;CAM-PN-12;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
30;CAM-PN-13;CAM-PN-13;CAM-PN-13;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
31;CAM-PN-14;CAM-PN-14;CAM-PN-14;BA;BA;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi
