subtype;element_type;subsistema
3;1;METEO
1;2;CCTV
2;2;CCTV
2;4;DAT TRAFICO
1;5;MEGAFONIA
NULL;8;CONTROL DE ACCESSOS
1;9;VENTILACION
1;11;SOS
NULL;12;ILUMINACION
1;13;CONTROL DE ACCESSOS
NULL;14;ILUMINACION
NULL;15;INCENDIOS
NULL;16;MEGAFONIA
NULL;18;VENTILACION
NULL;19;VENTILACION
NULL;20;VENTILACION
NULL;21;VENTILACION
NULL;22;BOMBEO
NULL;23;BOMBEO
NULL;26;COMUNICACIONES
NULL;27;COMUNICACIONES
NULL;28;COMUNICACIONES
2;29;INCENDIOS
NULL;30;COMUNICACIONES
NULL;31;ILUMINACION
2;32;INCENDIOS
NULL;33;ELECTRICIDAD
NULL;52;DAI
NULL;51;DAT TRAFICO
1;53;CONTROL DE ACCESSOS
2;53;CONTROL DE ACCESSOS
2;55;CT
NULL;57;ELECTRICIDAD
NULL;56;ELECTRICIDAD
NULL;58;DET_LIN_INC
NULL;59;DET_LIN_INC
NULL;60;DET_LIN_INC
1;61;DET_LIN_INC
NULL;65;ELECTRICIDAD
1;66;VENTILACION
NULL;70;ELECTRICIDAD
9;71;CONTROL DE ACCESSOS
11;71;CONTROL DE ACCESSOS
12;71;CONTROL DE ACCESSOS
16;71;CONTROL DE ACCESSOS
18;71;CONTROL DE ACCESSOS
22;71;CONTROL DE ACCESSOS
NULL;74;ERU
NULL;75;CT
NULL;84;ELECTRICIDAD
NULL;85;ILUMINACION
NULL;86;BOMBEO
NULL;87;BOMBEO
NULL;88;BOMBEO
NULL;89;INCENDIOS
NULL;91;ILUMINACION
NULL;92;ELECTRICIDAD
NULL;93;BOMBEO
NULL;94;MEGAFONIA
NULL;2000;ILUMINACION
