id_synoptic;num_subsistema;subsistema;;
82;2;SOS;;
82;3;CCTV;;
82;4;VENTILACION;;
82;5;ILUMINACION;;
82;6;METEO;;
82;7;INCENDIOS;;
82;8;CT;;
82;9;ELECTRICIDAD;;
83;1;ELECTRICIDAD;;
83;2;ILUMINACION;;
84;1;ELECTRICIDAD;;
85;1;CONTROL DE ACCESSOS;;
85;2;CCTV;;
85;3;METEO;;
85;4;DAT TRAFICO;;
85;5;VENTILACION;;
86;1;CONTROL DE ACCESSOS;;
86;2;CCTV;;
86;3;METEO;;
86;4;DAT TRAFICO;;
87;1;ELECTRICIDAD;;
88;1;ELECTRICIDAD;;
88;2;ILUMINACION;;
89;1;ELECTRICIDAD;;
90;1;ELECTRICIDAD;;
90;2;CT;;
90;3;SOS;;
90;4;BOMBEO;;
91;1;CT;;
92;1;CT;;
93;1;CT;;
94;1;CT;;
95;1;CT;;
96;1;CT;;
97;1;ELECTRICIDAD;;
97;2;CT;;
97;3;SOS;;
97;4;BOMBEO;;
98;1;VENTILACION;;
98;2;SOS;;
98;3;CCTV;;
98;4;METEO;;
98;5;INCENDIOS;;
98;6;ELECTRICIDAD;;
98;7;ILUMINACION;;
98;8;DAT TRAFICO;;
99;1;MEGAFONIA;;
99;2;SOS;;
99;3;COMUNICACIONES;;
99;4;ERU;;
99;5;DAI;;
100;1;VENTILACION;;
100;2;SOS;;
100;3;CCTV;;
100;4;METEO;;
100;5;INCENDIOS;;
100;6;ELECTRICIDAD;;
100;7;ILUMINACION;;
100;8;DAT TRAFICO;;
101;1;MEGAFONIA;;
101;2;SOS;;
101;3;COMUNICACIONES;;
101;4;ERU;;
101;5;DAI;;
102;1;MEGAFONIA;;
102;2;SOS;;
102;3;COMUNICACIONES;;
102;4;ERU;;
102;5;DAI;;
103;1;ELECTRICIDAD;;
103;2;ILUMINACION;;
104;1;VENTILACION;;
104;2;SOS;;
104;3;CCTV;;
104;4;METEO;;
104;5;INCENDIOS;;
104;6;ELECTRICIDAD;;
104;7;ILUMINACION;;
104;8;DAT TRAFICO;;
105;1;VENTILACION;;
105;2;SOS;;
105;3;CCTV;;
105;4;METEO;;
105;5;ELECTRICIDAD;;
105;6;ILUMINACION;;
106;1;CONTROL DE ACCESSOS;;
106;2;CCTV;;
106;3;METEO;;
106;4;DAT TRAFICO;;
107;1;CONTROL DE ACCESSOS;;
107;2;CCTV;;
107;3;METEO;;
107;4;DAT TRAFICO;;
107;5;VENTILACION;;
108;1;ELECTRICIDAD;;
108;2;CT;;
108;3;SOS;;
108;4;BOMBEO;;
109;1;ELECTRICIDAD;;
110;1;ELECTRICIDAD;;
110;2;CT;;
110;3;SOS;;
110;4;BOMBEO;;
111;1;MEGAFONIA;;
111;2;SOS;;
111;3;COMUNICACIONES;;
111;4;ERU;;
111;5;DAI;;
112;1;MEGAFONIA;;
112;2;SOS;;
112;3;COMUNICACIONES;;
112;4;ERU;;
112;5;DAI;;
113;1;ELECTRICIDAD;;
113;2;CT;;
113;3;SOS;;
113;4;BOMBEO;;
114;1;ELECTRICIDAD;;
114;2;CT;;
114;3;SOS;;
114;4;BOMBEO;;
115;1;ELECTRICIDAD;;
115;2;CT;;
115;3;SOS;;
115;4;BOMBEO;;
116;1;ELECTRICIDAD;;
116;2;ILUMINACION;;
118;1;ELECTRICIDAD;;
119;1;MEGAFONIA;;
119;2;SOS;;
119;3;COMUNICACIONES;;
119;4;ERU;;
119;5;DAI;;
120;1;ELECTRICIDAD;;
121;1;ELECTRICIDAD;;
122;2;ILUMINACION;;
122;1;METEO;;
122;2;CCTV;;
122;3;DAT TRAFICO;;
122;4;CONTROL DE ACCESSOS;;
122;5;ILUMINACION;;
122;6;VENTILACION;;
122;7;INCENDIOS;;
123;1;ELECTRICIDAD;;
124;1;ELECTRICIDAD;;
125;1;ELECTRICIDAD;;
126;1;ILUMINACION;;
126;2;ELECTRICIDAD;;
127;1;ILUMINACION;;
127;2;ELECTRICIDAD;;
128;1;CT;;
129;1;SOS;;
129;2;ELECTRICIDAD;;
129;3;CT;;
129;4;BOMBEO;;
130;1;SOS;;
130;2;DET_LIN_INC;;
130;3;BOMBEO;;
130;4;INCENDIOS;;
131;1;SOS;;
131;2;DET_LIN_INC;;
131;3;BOMBEO;;
131;4;INCENDIOS;;
132;1;ILUMINACION;;
132;2;ELECTRICIDAD;;
133;1;CONTROL DE ACCESSOS;;
134;1;MEGAFONIA;;
134;2;SOS;;
134;3;COMUNICACIONES;;
134;4;ERU;;
134;5;DAI;;
135;1;ELECTRICIDAD;;
136;1;ILUMINACION;;
136;2;ELECTRICIDAD;;
137;1;SOS;;
137;2;DET_LIN_INC;;
137;3;BOMBEO;;
137;4;INCENDIOS;;
138;1;SOS;;
138;2;DET_LIN_INC;;
138;3;BOMBEO;;
138;4;INCENDIOS;;
139;1;VENTILACION;;
139;2;SOS;;
139;3;CCTV;;
139;4;METEO;;
139;5;ELECTRICIDAD;;
139;6;ILUMINACION;;
140;1;SOS;;
140;2;DET_LIN_INC;;
140;3;BOMBEO;;
140;4;INCENDIOS;;
141;1;SOS;;
141;2;DET_LIN_INC;;
141;3;BOMBEO;;
141;4;INCENDIOS;;
142;1;SOS;;
142;2;DET_LIN_INC;;
142;3;BOMBEO;;
142;4;INCENDIOS;;
143;1;ELECTRICIDAD;;
144;1;ELECTRICIDAD;;
