id_synoptic;id_subsistema;id_element_type;name;description;label;base_layer
28;1;NULL;ELECTRICIDAD;ELE7CTRICIDAD;LBL_ELECTRICIDAD;NULL
29;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
30;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
31;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
32;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
33;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
33;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
33;3;NULL;METEO;METEO;LBL_METEO;NULL
33;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
33;5;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
34;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
34;2;NULL;SOS;SOS;LBL_SOS;NULL
34;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
34;4;NULL;ERU;ERU;LBL_ERU;NULL
34;5;NULL;DAI;DAI;LBL_DAI;NULL
35;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
35;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
35;3;NULL;METEO;METEO;LBL_METEO;NULL
35;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
36;1;NULL;SOS;SOS;LBL_SOS;NULL
36;2;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
36;3;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
36;4;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
37;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
37;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
37;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
37;4;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
37;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
37;6;NULL;SOS;SOS;LBL_SOS;NULL
37;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
37;8;NULL;CT;CT;LBL_CT;NULL
37;9;NULL;METEO;METEO;LBL_METEO;NULL
38;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
38;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
38;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
38;4;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
38;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
38;6;NULL;SOS;SOS;LBL_SOS;NULL
38;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
38;8;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
38;9;NULL;METEO;METEO;LBL_METEO;NULL
38;10;NULL;CT;CT;LBL_CT;NULL
38;11;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
39;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
39;2;NULL;SOS;SOS;LBL_SOS;NULL
39;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
39;4;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
39;5;NULL;CT;CT;LBL_CT;NULL
39;6;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
39;7;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
39;8;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
39;9;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
39;10;NULL;METEO;METEO;LBL_METEO;NULL
40;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
41;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
42;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
43;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
44;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
45;1;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
45;2;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
46;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
46;2;NULL;CT;CT;LBL_CT;NULL
46;3;NULL;SOS;SOS;LBL_SOS;NULL
46;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
47;1;NULL;CCTV;CCTV;LBL_CCTV;NULL
47;2;NULL;SOS;SOS;LBL_SOS;NULL
47;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
47;4;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
47;5;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
47;6;NULL;METEO;METEO;LBL_METEO;NULL
47;7;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
47;8;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
47;9;NULL;CT;CT;LBL_CT;NULL
47;10;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
48;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
48;2;NULL;SOS;SOS;LBL_SOS;NULL
48;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
48;4;NULL;CCTV;CCTV;LBL_CCTV;NULL
48;5;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
48;6;NULL;METEO;METEO;LBL_METEO;NULL
48;7;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
48;8;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
48;9;NULL;CT;CT;LBL_CT;NULL
48;10;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
49;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
50;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
51;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
52;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
53;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
54;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
55;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
55;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
55;3;NULL;METEO;METEO;LBL_METEO;NULL
55;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
55;5;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
56;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
56;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
56;3;NULL;METEO;METEO;LBL_METEO;NULL
56;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
57;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
57;2;NULL;SOS;SOS;LBL_SOS;NULL
57;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
57;4;NULL;METEO;METEO;LBL_METEO;NULL
57;5;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
57;6;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
57;7;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
57;8;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
58;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
58;2;NULL;CT;CT;LBL_CT;NULL
58;3;NULL;SOS;SOS;LBL_SOS;NULL
58;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
59;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
60;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
61;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
62;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
63;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
64;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
65;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
66;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
67;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
68;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
69;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
70;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
71;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
72;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
73;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
74;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
75;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
76;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
77;1;NULL;SOS;SOS;LBL_SOS;NULL
77;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
77;3;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
77;4;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
77;5;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
77;6;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
77;7;NULL;CT;CT;LBL_CT;NULL
78;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
79;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
80;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
81;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
81;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
82;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
82;2;NULL;SOS;SOS;LBL_SOS;NULL
82;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
82;4;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
82;5;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
82;6;NULL;METEO;METEO;LBL_METEO;NULL
82;7;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
82;8;NULL;CT;CT;LBL_CT;NULL
82;9;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
83;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
83;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
84;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
85;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
85;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
85;3;NULL;METEO;METEO;LBL_METEO;NULL
85;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
85;5;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
86;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
86;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
86;3;NULL;METEO;METEO;LBL_METEO;NULL
86;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
87;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
88;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
88;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
89;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
90;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
90;2;NULL;CT;CT;LBL_CT;NULL
90;3;NULL;SOS;SOS;LBL_SOS;NULL
90;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
91;1;NULL;CT;CT;LBL_CT;NULL
92;1;NULL;CT;CT;LBL_CT;NULL
93;1;NULL;CT;CT;LBL_CT;NULL
94;1;NULL;CT;CT;LBL_CT;NULL
95;1;NULL;CT;CT;LBL_CT;NULL
96;1;NULL;CT;CT;LBL_CT;NULL
97;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
97;2;NULL;CT;CT;LBL_CT;NULL
97;3;NULL;SOS;SOS;LBL_SOS;NULL
97;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
98;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
98;2;NULL;SOS;SOS;LBL_SOS;NULL
98;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
98;4;NULL;METEO;METEO;LBL_METEO;NULL
98;5;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
98;6;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
98;7;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
98;8;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
99;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
99;2;NULL;SOS;SOS;LBL_SOS;NULL
99;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
99;4;NULL;ERU;ERU;LBL_ERU;NULL
99;5;NULL;DAI;DAI;LBL_DAI;NULL
100;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
100;2;NULL;SOS;SOS;LBL_SOS;NULL
100;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
100;4;NULL;METEO;METEO;LBL_METEO;NULL
100;5;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
100;6;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
100;7;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
100;8;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
101;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
101;2;NULL;SOS;SOS;LBL_SOS;NULL
101;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
101;4;NULL;ERU;ERU;LBL_ERU;NULL
101;5;NULL;DAI;DAI;LBL_DAI;NULL
102;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
102;2;NULL;SOS;SOS;LBL_SOS;NULL
