id;name;description;alarms;measures;js_draw_file;width;height;svg_pattern_var;svg_file;js_custom_type_render
301;EM;EM;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/01_weather_station.svg';null
102;CAM_DOMO;CAM_DOMO;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/02_camera_domo.svg';null
202;CAM_DAI;CAM_DAI;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/02_camera.svg';null
10202;CAM_DAI;CAM_DAI;false;false;'component/graphicIcon/graphicIconDefault.js';37.5;37.5;null;'img/graphic_icon/02_camera.svg';null
3;Detector;Detector;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/03_detector.svg';null
204;Seccion;Seccion;false;true;'component/graphicIcon/graphicIconCustom.js';100;100;null;'img/graphic_icon/04_section.svg';'component/graphicIcon/custom/section.js'
5;PA_system;PA_system;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/05_pa_system.svg';null
7;TUNEL;TUNEL;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/07_zone.svg';null
8;BAR;BAR;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/08_barrier.svg';'component/graphicIcon/custom/barrier.js'
109;VNT;VNT;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/09_jetfan.svg';'component/graphicIcon/custom/jetfan.js'
111;SOS;SOS;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/11_sos.svg';null
10111;SOS;SOS;false;false;'component/graphicIcon/graphicIconDefault.js';37.5;37.5;null;'img/graphic_icon/11_sos.svg';null
12;LUX;LUX;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/12_lux.svg';'component/graphicIcon/custom/lux.js'
13;SEM;SEM;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/13_sem_3_grupos.svg';'component/graphicIcon/custom/trafficLight.js'
14;LUM;LUM;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/14_lum.svg';'component/graphicIcon/custom/lum.js'
15;FIRE;FIRE;false;false;'component/graphicIcon/graphicIconDefault.js';312;200;null;'img/graphic_icon/15_fire.svg';null
115;FIRE;FIRE;false;false;'component/graphicIcon/graphicIconDefault.js';440;26;null;'img/graphic_icon/15_fire.svg';null
215;FIRE;FIRE;false;false;'component/graphicIcon/graphicIconDefault.js';138;7334;null;'img/graphic_icon/15_fire.svg';null
315;FIRE;FIRE;false;false;'component/graphicIcon/graphicIconDefault.js';245;14.7;null;'img/graphic_icon/15_fire.svg';null
415;FIRE;FIRE;false;false;'component/graphicIcon/graphicIconDefault.js';150;14.7;null;'img/graphic_icon/15_fire.svg';null
515;FIRE;FIRE;false;false;'component/graphicIcon/graphicIconDefault.js';338;19;null;'img/graphic_icon/15_fire.svg';null
16;PA_ZONE;PA_ZONE;false;false;'component/graphicIcon/graphicIconDefault.js';50;80;null;'img/graphic_icon/16_pa_zone.svg';null
116;PA_ZONE;PA_ZONE;false;true;'component/graphicIcon/graphicIconCustom.js';150;80;null;'img/graphic_icon/16_pa_zone_width.svg';'component/graphicIcon/custom/zonemeg.js'
18;ANEM;ANEM;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/18_anemometro.svg';'component/graphicIcon/custom/inAnemometer.js'
118;ANEMFLIP;ANEMFLIP;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/18_anemometro.svg';'component/graphicIcon/custom/inAnemometer_flip.js'
19;CO;CO;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/19_co.svg';'component/graphicIcon/custom/co.js'
119;CO;CO;false;true;'component/graphicIcon/graphicIconCustom.js';37;48;null;'img/graphic_icon/19_co.svg';'component/graphicIcon/custom/co.js'
219;CO;CO;false;true;'component/graphicIcon/graphicIconCustom.js';40;60;null;'img/graphic_icon/19_co.svg';'component/graphicIcon/custom/co.js'
20;NO;NO;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/20_no.svg';'component/graphicIcon/custom/no.js'
120;NO;NO;false;true;'component/graphicIcon/graphicIconCustom.js';37;48;null;'img/graphic_icon/20_no.svg';'component/graphicIcon/custom/no.js'
220;NO;NO;false;true;'component/graphicIcon/graphicIconCustom.js';40;60;null;'img/graphic_icon/20_no.svg';'component/graphicIcon/custom/no.js'
21;OPAC;OPAC;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/21_opac.svg';'component/graphicIcon/custom/op.js'
121;OPAC;OPAC;false;true;'component/graphicIcon/graphicIconCustom.js';37;48;null;'img/graphic_icon/21_opac.svg';'component/graphicIcon/custom/op.js'
221;OPAC;OPAC;false;true;'component/graphicIcon/graphicIconCustom.js';40;60;null;'img/graphic_icon/21_opac.svg';'component/graphicIcon/custom/op.js'
22;VALV;VALV;false;true;'component/graphicIcon/graphicIconCustom.js';80;80;null;'img/graphic_icon/22_valvulas.svg';'component/graphicIcon/custom/valve.js'
122;VALV;VALV;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/22_valvulas.svg';'component/graphicIcon/custom/valve.js'
222;VALV;VALV;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/22_valvula_mariposa.svg';'component/graphicIcon/custom/valve.js'
23;BAT_PCI;BAT_PCI;false;false;'component/graphicIcon/graphicIconDefault.js';40;40;null;'img/graphic_icon/23_batteries.svg';null
26;SWITCH;SWITCH;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/26_switch.svg';null
27;PLC;PLC;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/27_plc.svg';null
28;NAS;NAS;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/28_nas.svg';null
29;FIBRO_CT;FIBRO_CT;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/29_fibrolaser_ct.svg';null
30;RADIO;RADIO;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/30_radio.svg';null
232;PRESUR;PRESUR;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/32_presurizacion_vent.svg';null
33;TRAFO;TRAFO;false;false;'component/graphicIcon/graphicIconDefault.js';55;55;null;'img/graphic_icon/33_trafo.svg';null
31;FOTOCELULA;FOTOCELULA;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/31_pho.svg';'component/graphicIcon/custom/fotocelula.js'
51;ETD;ETD;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/51_etd.svg';null
52;DAI;DAI;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/52_dai_server.svg';null
153;SEM;SEM;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/53_sem_2_grupos.svg';'component/graphicIcon/custom/amberTrafficLight.js'
253;SEM;SEM;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/53_sem_2_grupos.svg';'component/graphicIcon/custom/redTrafficLight.js'
55;CT;CT;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/55_ct.svg';null
155;CT;CT;false;false;'component/graphicIcon/graphicIconDefault.js';100;100;null;'img/graphic_icon/55_ct.svg';null
56;UF;UF;false;false;'component/graphicIcon/graphicIconDefault.js';80;80;null;'img/graphic_icon/56_unifilar.svg';null
156;UF;UF;false;false;'component/graphicIcon/graphicIconDefault.js';60;60;null;'img/graphic_icon/56_unifilar.svg';null
256;UF;UF;false;false;'component/graphicIcon/graphicIconDefault.js';55;55;null;'img/graphic_icon/56_unifilar.svg';null
57;MAG_DIF;MAG_DIF;false;true;'component/graphicIcon/graphicIconCustom.js';20;20;null;'img/graphic_icon/57_switch.svg';'component/graphicIcon/custom/switch.js'
157;MAG_DIF;MAG_DIF;false;true;'component/graphicIcon/graphicIconCustom.js';40;40;null;'img/graphic_icon/57_switch.svg';'component/graphicIcon/custom/switch.js'
58;PULS;PULS;false;false;'component/graphicIcon/graphicIconDefault.js';80;80;null;'img/graphic_icon/58_pulsador.svg';null
158;PULS;PULS;false;false;'component/graphicIcon/graphicIconDefault.js';40;40;null;'img/graphic_icon/58_pulsador.svg';null
59;DET_HUM;DET_HUM;false;false;'component/graphicIcon/graphicIconDefault.js';80;80;null;'img/graphic_icon/59_smoke_detector.svg';null
159;DET_HUM;DET_HUM;false;false;'component/graphicIcon/graphicIconDefault.js';40;40;null;'img/graphic_icon/59_smoke_detector.svg';null
60;SIRENA;SIRENA;false;false;'component/graphicIcon/graphicIconDefault.js';80;80;null;'img/graphic_icon/60_sirena.svg';null
160;SIRENA;SIRENA;false;false;'component/graphicIcon/graphicIconDefault.js';40;40;null;'img/graphic_icon/60_sirena.svg';null
61;FIRE_CENT;FIRE_CENT;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/61_fire_det_ct.svg';null
361;FIRE_CENT;FIRE_CENT;false;false;'component/graphicIcon/graphicIconDefault.js';67;67;null;'img/graphic_icon/61_fire_det_ct.svg';null
65;SAI;SAI;false;false;'component/graphicIcon/graphicIconDefault.js';80;80;null;'img/graphic_icon/65_sai.svg';null
165;SAI;SAI;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/65_sai.svg';null
265;SAI;SAI;false;false;'component/graphicIcon/graphicIconDefault.js';60;60;null;'img/graphic_icon/65_sai.svg';null
166;VANE;VANE;false;true;'component/graphicIcon/graphicIconCustom.js';50;80;null;'img/graphic_icon/66_vane.svg';'component/graphicIcon/custom/vane.js'
70;CVM;CVM;false;false;'component/graphicIcon/graphicIconDefault.js';80;80;null;'img/graphic_icon/70_analizador_red.svg';null
170;CVM;CVM;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/70_analizador_red.svg';null
270;CVM;CVM;false;false;'component/graphicIcon/graphicIconDefault.js';55;55;null;'img/graphic_icon/70_analizador_red.svg';null
971;PMV;PMV;false;true;'component/graphicIcon/graphicIconCustom.js';300;150;null;'img/graphic_icon/71_vms_dgt_gr_txt.svg';'component/graphicIcon/custom/vms.js'
1171;PMV;PMV;false;true;'component/graphicIcon/graphicIconCustom.js';65;65;null;'img/graphic_icon/71_vms_af_clv.svg';'component/graphicIcon/custom/vms.js'
2271;PMV;PMV;false;true;'component/graphicIcon/graphicIconCustom.js';300;150;null;'img/graphic_icon/71_vms_dgt.svg';'component/graphicIcon/custom/vms.js'
74;ERU;ERU;false;false;'component/graphicIcon/graphicIconDefault.js';320;160;null;'img/graphic_icon/74_eru.svg';null
174;ERU;ERU;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/74_eru.svg';null
75;GE;GE;false;false;'component/graphicIcon/graphicIconDefault.js';100;100;null;'img/graphic_icon/75_ge.svg';null
175;GE;GE;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/75_ge.svg';null
275;GE;GE;false;false;'component/graphicIcon/graphicIconDefault.js';55;55;null;'img/graphic_icon/75_ge.svg';null
84;LIGHT_CIRCUIT;LIGHT_CIRCUIT;false;true;'component/graphicIcon/graphicIconCustom.js';20;20;null;'img/graphic_icon/84_switch.svg';'component/graphicIcon/custom/switch_ligth.js'
184;LIGHT_CIRCUIT;LIGHT_CIRCUIT;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/84_switch_light_bulb.svg';'component/graphicIcon/custom/switch_ligth_bulb.js'
85;DALI;DALI;false;false;'component/graphicIcon/graphicIconDefault.js';1450;13;null;'img/graphic_icon/85_dali.svg';null
185;DALI;DALI;false;true;'component/graphicIcon/graphicIconCustom.js';150;80;null;'img/graphic_icon/85_dali_perm.svg';'component/graphicIcon/custom/dali.js'
285;DALI;DALI;false;true;'component/graphicIcon/graphicIconCustom.js';150;80;null;'img/graphic_icon/85_dali_ref.svg';'component/graphicIcon/custom/dali.js'
86;PUMP;PUMP;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/86_pump.svg';null
186;PUMP;PUMP;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/86_jockey_pump.svg';'component/graphicIcon/custom/pump.js'
286;PUMP;PUMP;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/86_electrical_pump.svg';'component/graphicIcon/custom/pump.js'
386;PUMP;PUMP;false;true;'component/graphicIcon/graphicIconCustom.js';50;50;null;'img/graphic_icon/86_diesel_pump.svg';'component/graphicIcon/custom/pump.js'
87;TANK;TANK;false;true;'component/graphicIcon/graphicIconCustom.js';100;100;null;'img/graphic_icon/87_tank.svg';'component/graphicIcon/custom/tank.js'
187;TANK;TANK;false;true;'component/graphicIcon/graphicIconCustom.js';100;100;null;'img/graphic_icon/87_diesel_tank.svg';'component/graphicIcon/custom/tank.js'
287;TANK;TANK;false;true;'component/graphicIcon/graphicIconCustom.js';40;60;null;'img/graphic_icon/87_tank.svg';'component/graphicIcon/custom/tank.js'
88;LEAK_WATER;LEAK_WATER;false;false;'component/graphicIcon/graphicIconDefault.js';50;50;null;'img/graphic_icon/88_leak_water_sensor.svg';null
