item;alias;description;sessionuid;road;stretchs;pk;sentido
105;COR-VM-4MA;COR-VM-4MA;COR-VM-4MA;AP7 - AUSOL I;COR-TUNEL;173+900;MA
106;COR-VM-5MA;COR-VM-5MA;COR-VM-5MA;AP7 - AUSOL I;COR-TUNEL;173+900;MA
107;COR-VM-6MA;COR-VM-6MA;COR-VM-6MA;AP7 - AUSOL I;COR-TUNEL;173+900;MA
108;COR-VM-7MA;COR-VM-7MA;COR-VM-7MA;AP7 - AUSOL I;COR-TUNEL;173+900;MA
109;COR-VM-8MA;COR-VM-8MA;COR-VM-8MA;AP7 - AUSOL I;COR-TUNEL;173+900;MA
110;COR-VM-1CA;COR-VM-1CA;COR-VM-1CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
111;COR-VM-2CA;COR-VM-2CA;COR-VM-2CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
112;COR-VM-3CA;COR-VM-3CA;COR-VM-3CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
113;COR-VM-4CA;COR-VM-4CA;COR-VM-4CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
114;COR-VM-5CA;COR-VM-5CA;COR-VM-5CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
115;COR-VM-6CA;COR-VM-6CA;COR-VM-6CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
116;COR-VM-7CA;COR-VM-7CA;COR-VM-7CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
117;COR-VM-8CA;COR-VM-8CA;COR-VM-8CA;AP7 - AUSOL I;COR-TUNEL;173+900;CA
118;COR-VC-DALJ;COR-VC-DALJ;COR-VC-DALJ;AP7 - AUSOL I;COR-TUNEL;173+900;CA
119;LQ-VC-DALJ;LQ-VC-DALJ;LQ-VC-DALJ;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
120;MM-VC-DALJ;MM-VC-DALJ;MM-VC-DALJ;AP7 - AUSOL I;MM-TUNEL;166+115;CA
