item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-MOD-1;RV-MOD-1;RV-MOD-1;AP7 - AUSOL I;RV-TUNEL;177+307;CA
2;MM-MOD-1;MM-MOD-1;MM-MOD-1;AP7 - AUSOL I;MM-TUNEL;177+307;MA
3;CH-MOD-1;CH-MOD-1;CH-MOD-1;AP7 - AUSOL I;CH-TUNEL;199+793;CA
4;COR-MOD-1;COR-MOD-1;COR-MOD-1;AP7 - AUSOL II;COR-TUNEL;152+000;CA
5;EST-MOD-1;EST-MOD-1;EST-MOD-1;AP7 - AUSOL II;EST-TUNEL;177+229;CA
6;LQ-MOD-1;LQ-MOD-1;LQ-MOD-1;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
7;NG-MOD-1;NG-MOD-1;NG-MOD-1;AP7 - AUSOL I;NG-TUNEL;177+712;CA
8;STM2-MOD-1;STM2-MOD-1;STM2-MOD-1;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
9;STMI-MOD-1;STMI-MOD-1;STMI-MOD-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
10;CAS-MOD-1;CAS-MOD-1;CAS-MOD-1;AP7 - AUSOL II;CAS-TUNEL;151+953;CA
