item;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1001;S1TS - Tramo 1;S1TS - Tramo 1 Norte-Sur;S1TS - Tramo 1;AVO;;;;;
1002;S1TS - Tramo 2;S1TS - Tramo 2 Norte-Sur;S1TS - Tramo 2;AVO;;;;;
1003;S1TS - Tramo 3;S1TS - Tramo 3 Norte-Sur;S1TS - Tramo 3;AVO;;;;;
1004;S1TS - Tramo 4;S1TS - Tramo 4 Norte-Sur;S1TS - Tramo 4;AVO;;;;;
1005;S1TS - Tramo 5;S1TS - Tramo 5 Norte-Sur;S1TS - Tramo 5;AVO;;;;;
1006;S1TS - Tramo 6;S1TS - Tramo 6 Norte-Sur;S1TS - Tramo 6;AVO;;;;;
1007;S1TS - Tramo 7;S1TS - Tramo 7 Norte-Sur;S1TS - Tramo 7;AVO;;;;;
1008;S2TS - Tramo 8;S2TS - Tramo 8 Norte-Sur;S2TS - Tramo 8;AVO;;;;;
1009;S2TS - Tramo 9;S2TS - Tramo 9 Norte-Sur;S2TS - Tramo 9;AVO;;;;;
1010;S2TS - Tramo 10;S2TS - Tramo 10 Norte-Sur;S2TS - Tramo 10;AVO;;;;;
1011;S2TS - Tramo 11;S2TS - Tramo 11 Norte-Sur;S2TS - Tramo 11;AVO;;;;;
1012;S2TS - Tramo 12;S2TS - Tramo 12 Norte-Sur;S2TS - Tramo 12;AVO;;;;;
1013;S2TS - Tramo 13;S2TS - Tramo 13 Norte-Sur;S2TS - Tramo 13;AVO;;;;;
1014;S2TS - Tramo 14;S2TS - Tramo 14 Norte-Sur;S2TS - Tramo 14;AVO;;;;;
1015;S2TS - Tramo 15;S2TS - Tramo 15 Norte-Sur;S2TS - Tramo 15;AVO;;;;;
1016;S2TS - Tramo 16;S2TS - Tramo 16 Norte-Sur;S2TS - Tramo 16;AVO;;;;;
1017;S2TS - Tramo 17;S2TS - Tramo 17 Norte-Sur;S2TS - Tramo 17;AVO;;;;;
1018;S2TS - Tramo 18;S2TS - Tramo 18 Norte-Sur;S2TS - Tramo 18;AVO;;;;;
1019;S2TS - Tramo 19;S2TS - Tramo 19 Norte-Sur;S2TS - Tramo 19;AVO;;;;;
1020;S2TS - Tramo 20;S2TS - Tramo 20 Norte-Sur;S2TS - Tramo 20;AVO;;;;;
1021;S2TS - Tramo 21;S2TS - Tramo 21 Norte-Sur;S2TS - Tramo 21;AVO;;;;;
1022;S2TS - Tramo 22;S2TS - Tramo 22 Norte-Sur;S2TS - Tramo 22;AVO;;;;;
1023;SCNO - Tramo 23;SCNO - Tramo 23 Norte-Sur;SCNO - Tramo 23;AVO;;;;;
1024;SCNO - Tramo 24;SCNO - Tramo 24 Norte-Sur;SCNO - Tramo 24;AVO;;;;;
1025;SAEB - Tramo 25;SAEB - Tramo 25 Norte-Sur;SAEB - Tramo 25;AVO;;;;;
1026;SIGO - Tramo 26;SIGO - Tramo 26 Norte-Sur;SIGO - Tramo 26;AVO;;;;;
1027;IVIP - Tramo 27;IVIP - Tramo 27 Norte-Sur;IVIP - Tramo 27;AVO;;;;;
1028;INKP - Tramo 28;INKP - Tramo 28 Norte-Sur;INKP - Tramo 28;AVO;;;;;
1029;INKP - Tramo 29;INKP - Tramo 29 Norte-Sur;INKP - Tramo 29;AVO;;;;;
1030;ICNP - Tramo 30;ICNP - Tramo 30 Norte-Sur;ICNP - Tramo 30;AVO;;;;;
1031;ICNP - Tramo 31;ICNP - Tramo 31 Norte-Sur;ICNP - Tramo 31;AVO;;;;;
1032;ICNP - Tramo 32;ICNP - Tramo 32 Norte-Sur;ICNP - Tramo 32;AVO;;;;;
1033;ICNP - Tramo 33;ICNP - Tramo 33 Norte-Sur;ICNP - Tramo 33;AVO;;;;;
1034;SMPN - Tramo 34;SMPN - Tramo 34 Norte-Sur;SMPN - Tramo 34;AVO;;;;;
1035;SICO - Tramo 35;SICO - Tramo 35 Norte-Sur;SICO - Tramo 35;AVO;;;;;
1036;SICO - Tramo 36;SICO - Tramo 36 Norte-Sur;SICO - Tramo 36;AVO;;;;;
1037;ICCP - Tramo 37;ICCP - Tramo 37 Norte-Sur;ICCP - Tramo 37;AVO;;;;;
1038;ICCP - Tramo 38;ICCP - Tramo 38 Norte-Sur;ICCP - Tramo 38;AVO;;;;;
1039;SBTP - Tramo 39;SBTP - Tramo 39 Norte-Sur;SBTP - Tramo 39;AVO;;;;;
1040;SBTP - Tramo 40;SBTP - Tramo 40 Norte-Sur;SBTP - Tramo 40;AVO;;;;;
1041;S1TN - Tramo 41;S1TN - Tramo 41 Sur-Norte;S1TN - Tramo 41;AVO;;;;;
1042;S1TN - Tramo 42;S1TN - Tramo 42 Sur-Norte;S1TN - Tramo 42;AVO;;;;;
1043;S1TN - Tramo 43;S1TN - Tramo 43 Sur-Norte;S1TN - Tramo 43;AVO;;;;;
1044;S2TN - Tramo 44;S2TN - Tramo 44 Sur-Norte;S2TN - Tramo 44;AVO;;;;;
1045;S2TN - Tramo 45;S2TN - Tramo 45 Sur-Norte;S2TN - Tramo 45;AVO;;;;;
1046;S2TN - Tramo 46;S2TN - Tramo 46 Sur-Norte;S2TN - Tramo 46;AVO;;;;;
1047;S2TN - Tramo 47;S2TN - Tramo 47 Sur-Norte;S2TN - Tramo 47;AVO;;;;;
