item;element_subtype;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_direction;param2_order;param3_mask_validation;param4_delay;param1004_rtms_zone_id
1;1;DET01-ASDKD01P;DET01-ASDKD01P;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;P;true;1;0;3;
2;1;DET02-ASDKD01P;DET02-ASDKD01P;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;P;true;2;0;3;
3;1;DET03-ASDKD01L;DET03-ASDKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;L;true;3;0;3;
4;1;DET04-ASDKD01L;DET04-ASDKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;L;true;4;0;3;
5;1;DET01-ASDDH01P;DET01-ASDDH01P;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;P;true;1;0;3;
6;1;DET02-ASDDH01P;DET02-ASDDH01P;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;P;true;2;0;3;
7;1;DET03-ASDDH01L;DET03-ASDDH01L;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;L;true;3;0;3;
8;1;DET04-ASDDH01L;DET04-ASDDH01L;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;L;true;4;0;3;
9;1;DET01-ASDDH02P;DET01-ASDDH02P;R7;R7_4:Šamorín-Holice;;29+739;P;true;1;0;3;
10;1;DET02-ASDDH02P;DET02-ASDDH02P;R7;R7_4:Šamorín-Holice;;29+739;P;true;2;0;3;
11;1;DET03-ASDDH02L;DET03-ASDDH02L;R7;R7_4:Šamorín-Holice;;29+739;L;true;3;0;3;
12;1;DET04-ASDDH02L;DET04-ASDDH02L;R7;R7_4:Šamorín-Holice;;29+739;L;true;4;0;3;
13;1;DET01-ASDJS05P;DET01-ASDJS05P;D4;D4_3:Ketelec-Rovinca;;10+086;P;true;1;0;3;
14;1;DET02-ASDJS05P;DET02-ASDJS05P;D4;D4_3:Ketelec-Rovinca;;10+086;P;true;2;0;3;
15;1;DET03-ASDJS06L;DET03-ASDJS06L;D4;D4_3:Ketelec-Rovinca;;10+086;L;true;3;0;3;
16;1;DET04-ASDJS06L;DET04-ASDJS06L;D4;D4_3:Ketelec-Rovinca;;10+086;L;true;4;0;3;
17;1;DET01-ASDJS07P;DET01-ASDJS07P;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;P;true;1;0;3;
18;1;DET02-ASDJS07P;DET02-ASDJS07P;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;P;true;2;0;3;
19;1;DET03-ASDJS08L;DET03-ASDJS08L;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;L;true;3;0;3;
20;1;DET04-ASDJS08L;DET04-ASDJS08L;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;L;true;4;0;3;
21;1;DET01-ASDJS09P;DET01-ASDJS09P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;P;true;1;0;3;
22;1;DET02-ASDJS09P;DET02-ASDJS09P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;P;true;2;0;3;
23;1;DET03-ASDJS10L;DET03-ASDJS10L;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;L;true;3;0;3;
24;1;DET04-ASDJS10L;DET04-ASDJS10L;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;L;true;4;0;3;
25;1;DET01-ASDJS11P;DET01-ASDJS11P;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;true;1;0;3;
