item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param2000_REGIMEN_0;param2001_REGIMEN_1;param2002_REGIMEN_2;param2003_REGIMEN_3;param2004_REGIMEN_4;param2005_REGIMEN_5;;
15;S2TN-SAM-NO-006;S2TN-SAM-NO-006;S2TN-SAM-NO-006;AVO;S2TN-ZON-028;Secc.03-11-11;41+85;;5550;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
16;S2TS-SAM-NO-005;S2TS-SAM-NO-005;S2TS-SAM-NO-005;AVO;S2TS-ZON-023;Secc.02-10-05;41+89;;5590;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
17;S2TN-SAM-NO-007;S2TN-SAM-NO-007;S2TN-SAM-NO-007;AVO;S2TN-ZON-023;Secc.03-11-10;42+4;;6100;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
18;S2TS-SAM-NO-006;S2TS-SAM-NO-006;S2TS-SAM-NO-006;AVO;S2TS-ZON-028;Secc.02-10-05;42+43;;6130;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
19;S2TS-SAM-NO-007;S2TS-SAM-NO-007;S2TS-SAM-NO-007;AVO;S2TS-ZON-032;Secc.02-10-06;42+85;;6550;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
20;S2TN-SAM-NO-008;S2TN-SAM-NO-008;S2TN-SAM-NO-008;AVO;S2TN-ZON-014;Secc.03-11-09;43+25;;6950;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
21;S2TS-SAM-NO-008;S2TS-SAM-NO-008;S2TS-SAM-NO-008;AVO;S2TS-ZON-042;Secc.02-10-07;43+8;;7500;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
22;S2TN-SAM-NO-009;S2TN-SAM-NO-009;S2TN-SAM-NO-009;AVO;S2TN-ZON-009;Secc.03-11-09;43+89;;7590;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
23;S2TS-SAM-NO-009;S2TS-SAM-NO-009;S2TS-SAM-NO-009;AVO;S2TS-ZON-044;Secc.02-10-07;44+05;;7750;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
24;S2TN-SAM-NO-010;S2TN-SAM-NO-010;S2TN-SAM-NO-010;AVO;S2TN-ZON-003;Secc.03-11-08;44+35;;8050;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
25;S2TS-SAM-NO-010;S2TS-SAM-NO-010;S2TS-SAM-NO-010;AVO;S2TS-ZON-047;Secc.02-10-07;44+35;;8050;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
