device_name;session_uid;id_zone;controller_name;url_publisher
RV-MEG-1CA;RV-MEG-1CA;19;RV-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-MEG-2CA;RV-MEG-2CA;20;RV-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-MEG-1MA;RV-MEG-1MA;17;RV-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-MEG-2MA;RV-MEG-2MA;18;RV-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-RADIO;RV-RADIO;73;RV-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-MEG-1CA;STMI-MEG-1CA;31;STMI-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-MEG-2CA;STMI-MEG-2CA;32;STMI-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-MEG-1MA;STMI-MEG-1MA;29;STMI-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-MEG-2MA;STMI-MEG-2MA;30;STMI-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-RADIO;STMI-RADIO;63;STMI-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-1MA;MM-MEG-1MA;1;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-2MA;MM-MEG-2MA;2;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-3MA;MM-MEG-3MA;3;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-4MA;MM-MEG-4MA;4;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-1CA;MM-MEG-1CA;5;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-2CA;MM-MEG-2CA;6;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-3CA;MM-MEG-3CA;7;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-MEG-4CA;MM-MEG-4CA;8;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-RADIO;MM-RADIO;65;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-1MA;COR-MEG-1MA;57;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-2MA;COR-MEG-2MA;58;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-3MA;COR-MEG-3MA;55;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-4MA;COR-MEG-4MA;56;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-5MA;COR-MEG-5MA;53;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-1CA;COR-MEG-1CA;54;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-2CA;COR-MEG-2CA;51;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-3CA;COR-MEG-3CA;52;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-4CA;COR-MEG-4CA;49;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-MEG-5CA;COR-MEG-5CA;50;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-RADIO;COR-RADIO;69;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-1MA;LQ-MEG-1MA;15;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-2MA;LQ-MEG-2MA;16;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-3MA;LQ-MEG-3MA;13;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-4MA;LQ-MEG-4MA;14;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-1CA;LQ-MEG-1CA;9;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-2CA;LQ-MEG-2CA;11;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-3CA;LQ-MEG-3CA;12;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-MEG-4CA;LQ-MEG-4CA;10;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-RADIO;LQ-RADIO;67;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-MEG-1MA;CH-MEG-1MA;39;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-MEG-2MA;CH-MEG-2MA;40;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
