device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
COR-PLCSI-2CA;COR-PLCSI-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.36'
COR-PLCSI-3CA;COR-PLCSI-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.42'
COR-PLCSI-4CA;COR-PLCSI-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.46'
COR-PLCG1-CA;COR-PLCG1-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.50'
COR-PLCG2-MA;COR-PLCG2-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.52'
COR-PLCG3-CA;COR-PLCG3-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.54'
COR-PLCSI-1MA;COR-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.73'
COR-PLCSI-2MA;COR-PLCSI-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.77'
COR-PLCSI-3MA;COR-PLCSI-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.82'
COR-PLCSI-4MA;COR-PLCSI-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.15.87'
CH-PLCL-1;CH-PLCL-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.10'
CH-PLC-CGBT;CH-PLC-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.11'
CH-PLCSI-1CA;CH-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.46'
CH-PLCSI-2CA;CH-PLCSI-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.49'
CH-PLCSI-3CA;CH-PLCSI-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.53'
CH-PLCG-CA;CH-PLCG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.37'
CH-PLCE-BM;CH-PLCE-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.23'
CH-PLCE-BC;CH-PLCE-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.39'
CH-PLCSI-1MA;CH-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.29'
CH-PLCSI-2MA;CH-PLCSI-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.32'
CH-PLCSI-3MA;CH-PLCSI-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.9.35'
LQ-PLCL-1;LQ-PLCL-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.10'
LQ-PLC-CGBT;LQ-PLC-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.11'
LQ-PLCSI-1CA;LQ-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.49'
LQ-PLCSI-2CA;LQ-PLCSI-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.53'
LQ-PLCSI-3CA;LQ-PLCSI-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.56'
LQ-PLCSI-4CA;LQ-PLCSI-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.59'
LQ-PLCSI-5CA;LQ-PLCSI-5CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.62'
