device_name;session_uid;url_publisher;read_permission;write_permission;host
CAS-MG-Z1;CAS-MG-Z1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.21
CAS-MG-Z2;CAS-MG-Z2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.22
CAS-MG-Z3;CAS-MG-Z3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.23
CAS-MG-Z4;CAS-MG-Z4;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.24
CAS-MG-Z5;CAS-MG-Z5;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.25
CAS-MG-Z6;CAS-MG-Z6;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.26
CAS-MG-Z7;CAS-MG-Z7;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.27
CAS-MG-Z8;CAS-MG-Z8;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.28
CAS-MEG-1MA;CAS-MEG-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.21
CAS-MEG-2MA;CAS-MEG-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.22
CAS-MEG-3MA;CAS-MEG-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.23
CAS-MEG-4MA;CAS-MEG-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.24
CAS-MEG-5MA;CAS-MEG-5MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;localhost
CAS-MEG-1CA;CAS-MEG-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.25
CAS-MEG-2CA;CAS-MEG-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.26
CAS-MEG-3CA;CAS-MEG-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.27
CAS-MEG-4CA;CAS-MEG-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.3.28
CAS-MEG-5CA;CAS-MEG-5CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;localhost
CAS-MEG;CAS-MEG;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;localhost
