device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command;receiver_name;ip_whitelist
MM-TV-8MA;MM-TV-8MA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.39';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
STMI-TV-1CA;STMI-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.44';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
STMI-TV-2CA;STMI-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.45';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
STMI-TV-1MA;STMI-TV-1MA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.41';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
STMI-TV-2MA;STMI-TV-2MA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.42';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
LQ-TV-1CA;LQ-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.67';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-2CA;LQ-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.68';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-3CA;LQ-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.69';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-4CA;LQ-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.70';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-5CA;LQ-TV-5CA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.71';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-6CA;LQ-TV-6CA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.72';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-7CA;LQ-TV-7CA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.73';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-8CA;LQ-TV-8CA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.74';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
