device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_fan_state(i);offset_fan_cmd(i);offset_switch(i);offset_gear(i);offset_commstatus(i)
CAS-VENT-VF1-CA;CAS-VENT-VF1-CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16500;25020;15560;15561;608
CAS-VENT-VF2-CA;CAS-VENT-VF2-CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16501;25021;15562;15563;609
CAS-VENT-VF3-CA;CAS-VENT-VF3-CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16502;25022;15564;15565;610
CAS-VENT-VF4-CA;CAS-VENT-VF4-CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16503;25023;15566;15567;611
CAS-VENT-VF5-CA;CAS-VENT-VF5-CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16504;25024;15568;15569;612
CAS-VENT-VF6-CA;CAS-VENT-VF6-CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16505;25025;15570;15571;613
CAS-VENT-VF1-MA;CAS-VENT-VF1-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16508;25028;15514;15515;626
CAS-VENT-VF2-MA;CAS-VENT-VF2-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16509;25029;15516;15517;627
CAS-VENT-VF3-MA;CAS-VENT-VF3-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16510;25030;15518;15519;628
CAS-VENT-VF4-MA;CAS-VENT-VF4-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16511;25031;15520;15521;629
CAS-VENT-VF5-MA;CAS-VENT-VF5-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16512;25032;15522;15523;630
CAS-VENT-VF6-MA;CAS-VENT-VF6-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16513;25033;15524;15525;631
CAS-VENT-VF7-MA;CAS-VENT-VF7-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16514;25034;15526;15527;632
CAS-VENT-VF8-MA;CAS-VENT-VF8-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16515;25035;15572;15573;633
CAS-VENT-VF9-MA;CAS-VENT-VF9-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16516;25036;15574;15575;634
CAS-VENT-VF10-MA;CAS-VENT-VF10-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16517;25037;15576;15577;635
COR-VENT-VF1-CA;COR-VENT-VF1-CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16500;25020;15558;15559;608
COR-VENT-VF2-CA;COR-VENT-VF2-CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16501;25021;15560;15561;609
COR-VENT-VF3-CA;COR-VENT-VF3-CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16502;25022;15562;15563;610
COR-VENT-VF4-CA;COR-VENT-VF4-CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16503;25023;15564;15565;611
COR-VENT-VF5-CA;COR-VENT-VF5-CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16504;25024;15566;15567;612
COR-VENT-VF6-CA;COR-VENT-VF6-CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16505;25025;15514;15515;613
COR-VENT-VF1-MA;COR-VENT-VF1-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16508;25028;15520;15521;626
COR-VENT-VF2-MA;COR-VENT-VF2-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16509;25029;15522;15523;627
COR-VENT-VF3-MA;COR-VENT-VF3-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16510;25030;15524;15525;628
COR-VENT-VF4-MA;COR-VENT-VF4-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16511;25031;15526;15527;629
COR-VENT-VF5-MA;COR-VENT-VF5-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16512;25032;15528;15529;630
COR-VENT-VF6-MA;COR-VENT-VF6-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16513;25033;15530;15531;631
COR-VENT-VF7-MA;COR-VENT-VF7-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16514;25034;15568;15569;632
COR-VENT-VF8-MA;COR-VENT-VF8-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16515;25035;15570;15571;633
COR-VENT-VF9-MA;COR-VENT-VF9-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16516;25036;15572;15573;634
COR-VENT-VF10-MA;COR-VENT-VF10-MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16517;25037;15574;15575;635
