device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
COR-INT-CSA-RED-A;COR-INT-CSA-RED-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;0;monitor;
COR-MAGDIF-MAN-CSA-RED-A;COR-MAGDIF-MAN-CSA-RED-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;1;monitor;
COR-MAGDIF-A3-SM;COR-MAGDIF-A3-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;2;monitor;
COR-MAGDIF-A5-SM;COR-MAGDIF-A5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;4;monitor;
COR-MAGDIF-A4-SM;COR-MAGDIF-A4-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;6;monitor;
COR-MAGDIF-A6-SM;COR-MAGDIF-A6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;8;monitor;
COR-INT-CSA-SAI-A;COR-INT-CSA-SAI-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;16;monitor;
COR-MAGDIF-MAN-CSA-SAI-A;COR-MAGDIF-MAN-CSA-SAI-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;17;monitor;
COR-MAGDIF-AA12-SC;COR-MAGDIF-AA12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;18;monitor;
COR-MAGDIF-AA9-SC;COR-MAGDIF-AA9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;20;monitor;
COR-MAGDIF-AA1-SM;COR-MAGDIF-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;22;monitor;
COR-MAGDIF-AA2-SM;COR-MAGDIF-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;24;monitor;
COR-MAGDIF-AE10-SM;COR-MAGDIF-AE10-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;26;monitor;
COR-MAGDIF-AE11-SC;COR-MAGDIF-AE11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;28;monitor;
COR-MAGDIF-A12-SC;COR-MAGDIF-A12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;34;monitor;
COR-MAGDIF-A13-SM;COR-MAGDIF-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BC;192.168.15.11;502;36;monitor;
COR-INT-CSA-RED-B;COR-INT-CSA-RED-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;0;monitor;
COR-MAGDIF-MAN-CSA-RED-B;COR-MAGDIF-MAN-CSA-RED-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;1;monitor;
COR-MAGDIF-A3-SC;COR-MAGDIF-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;2;monitor;
COR-MAGDIF-A5-SC;COR-MAGDIF-A5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;4;monitor;
COR-MAGDIF-A4-SC;COR-MAGDIF-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;6;monitor;
COR-MAGDIF-A6-SC;COR-MAGDIF-A6-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;8;monitor;
COR-INT-CSA-SAI-B;COR-INT-CSA-SAI-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;16;monitor;
COR-MAGDIF-MAN-CSA-SAI-B;COR-MAGDIF-MAN-CSA-SAI-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;17;monitor;
COR-MAGDIF-AA1-SC;COR-MAGDIF-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;18;monitor;
COR-MAGDIF-AA2-SC;COR-MAGDIF-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;20;monitor;
COR-MAGDIF-AA12-SM;COR-MAGDIF-AA12-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;22;monitor;
COR-MAGDIF-AA9-SM;COR-MAGDIF-AA9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;24;monitor;
COR-MAGDIF-AE10-SC;COR-MAGDIF-AE10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;26;monitor;
COR-MAGDIF-AE11-SM;COR-MAGDIF-AE11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;28;monitor;
COR-MAGDIF-AE13-SC;COR-MAGDIF-AE13-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;30;monitor;
COR-MAGDIF-AE14-SM;COR-MAGDIF-AE14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;32;monitor;
COR-MAGDIF-A14-SC;COR-MAGDIF-A14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;34;monitor;
COR-MAGDIF-A15-SM;COR-MAGDIF-A15-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-CGBT-BM;192.168.15.57;502;36;monitor;
COR-INT-CSG-1;COR-INT-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;2;monitor;
COR-MAGDIF-GA1-CSG-1;COR-MAGDIF-GA1-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;4;monitor;
COR-CONT-GA1-CSG-1;COR-CONT-GA1-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;5;monitor;
COR-MAGDIF-GA2-CSG-1;COR-MAGDIF-GA2-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;6;monitor;
COR-CONT-GA2-CSG-1;COR-CONT-GA2-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;7;monitor;
COR-MAGDIF-GE1-CSG-1;COR-MAGDIF-GE1-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;8;monitor;
COR-CONT-GE1-CSG-1;COR-CONT-GE1-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;9;monitor;
COR-MAGDIF-GF6-CSG-1;COR-MAGDIF-GF6-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;12;monitor;
COR-MAGDIF-GF9-CSG-1;COR-MAGDIF-GF9-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;13;monitor;
COR-MAGDIF-CIR-PRES-CSG-1;COR-MAGDIF-CIR-PRES-CSG-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-1;192.168.15.50;502;15;monitor;
COR-INT-CSG-2;COR-INT-CSG-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-2;192.168.15.52;502;2;monitor;
COR-MAGDIF-GA1-CSG-2;COR-MAGDIF-GA1-CSG-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-2;192.168.15.52;502;4;monitor;
COR-CONT-GA1-CSG-2;COR-CONT-GA1-CSG-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-2;192.168.15.52;502;5;monitor;
COR-MAGDIF-GA2-CSG-2;COR-MAGDIF-GA2-CSG-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLC-ARM-GAL-2;192.168.15.52;502;6;monitor;
