device_name;session_uid;url_publisher;read_permission;write_permission;host
RV-SWL;RV-SWL;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.11.11
RV-SWS-1CA;RV-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.11.37
RV-SWS-1MA;RV-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.11.28
RV-SWE-CA;RV-SWE-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.11.30
MM-SWL;MM-SWL;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.11
MM-SWS-1CA;MM-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.28
MM-SWS-2CA;MM-SWS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.31
MM-SWS-3CA;MM-SWS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.34
MM-SWG-CA;MM-SWG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.36
MM-SWE-CA;MM-SWE-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.38
MM-SWS-1MA;MM-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.45
MM-SWS-2MA;MM-SWS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.48
MM-SWS-3MA;MM-SWS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.12.51
STMI-SWL;STMI-SWL;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.13.13
STMI-SWS-1CA;STMI-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.13.28
STMI-SWS-1MA;STMI-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.13.37
STMI-SWE-CA;STMI-SWE-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.13.30
COR-SWL-BC;COR-SWL-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.13
COR-SWL-BM;COR-SWL-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.59
COR-SWS-1CA;COR-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.33
COR-SWS-2CA;COR-SWS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.37
COR-SWS-3CA;COR-SWS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.43
COR-SWS-4CA;COR-SWS-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.47
COR-SWG1-CA;COR-SWG1-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.51
COR-SWG2-MA;COR-SWG2-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.53
COR-SWG3-CA;COR-SWG3-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.55
COR-SWS-1MA;COR-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.74
COR-SWS-2MA;COR-SWS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.78
COR-SWS-3MA;COR-SWS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.83
COR-SWS-4MA;COR-SWS-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.15.88
CH-SWL;CH-SWL;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.13
CH-SWS-1CA;CH-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.47
CH-SWS-2CA;CH-SWS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.50
