device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_fan_vibration(i);offset_front_bearing(i);offset_back_bearing(i);offset_winding(i);offset_fan_state(i);offset_fan_cmd(i);offset_switch(i);offset_gear(i);offset_commstatus(i);offset_winding_sensor(i);vibration_sensor_alarm(i);front_motor_bearing_sensor_alarm(i);back_motor_bearing_sensor_alarm(i)
STM2-VENT-VF6-MA;STM2-VENT-VF6-MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16654;16656;16658;15512;16521;25041;15572;15573;621;15513;727;728;729
NG-VENT-VF1-CA;NG-VENT-VF1-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16678;16686;16688;15521;16500;25020;15562;15563;600;15524;739;743;744
NG-VENT-VF2-CA;NG-VENT-VF2-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16680;16690;16692;15522;16501;25021;15564;15565;602;15525;740;745;746
NG-VENT-VF3-CA;NG-VENT-VF3-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16682;16694;16696;15523;16502;25022;15566;15567;604;15526;741;747;748
NG-VENT-VF4-CA;NG-VENT-VF4-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16704;16710;16712;15528;16503;25023;15568;15569;606;15531;752;755;756
NG-VENT-VF5-CA;NG-VENT-VF5-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16706;16714;16716;15529;16504;25024;15570;15571;608;15532;753;757;758
NG-VENT-VF6-CA;NG-VENT-VF6-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16708;16718;16720;15530;16505;25025;15572;15573;610;15533;754;759;760
NG-VENT-VF7-CA;NG-VENT-VF7-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16726;16728;16730;15535;16506;25026;15574;15575;612;15536;763;764;765
NG-VENT-VF8-CA;NG-VENT-VF8-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16744;16746;16748;15539;16507;25027;15576;15577;614;15540;772;773;774
NG-VENT-VF1-MA;NG-VENT-VF1-MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16608;16612;16614;15501;16508;25028;15580;15581;616;15503;704;706;707
NG-VENT-VF2-MA;NG-VENT-VF2-MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16610;16616;16618;15502;16509;25029;15582;15583;618;15504;705;708;709
NG-VENT-VF3-MA;NG-VENT-VF3-MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16644;16760;16762;15510;16510;25030;15584;15585;620;15511;722;780;781
NG-VENT-VF4-MA;NG-VENT-VF4-MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16654;16660;16662;15513;16511;25031;15586;15587;622;15516;727;730;731
NG-VENT-VF5-MA;NG-VENT-VF5-MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16656;16664;16666;15514;16512;25032;15588;15589;624;15517;728;732;733
NG-VENT-VF6-MA;NG-VENT-VF6-MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16658;16668;16670;15515;16513;25033;15590;15591;626;15518;729;734;735
