device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_remote_control(i);offset_pres_fan_1(i);offset_alarm_pres_fan_1(i);offset_alarm_emergency_button(i);offset_pres_fan_2(i);offset_alarm_pres_fan_2(i);offset_commstatus(i);offset_fire_press_cmd(i)
MM-CUAD-PRES-GAL-CA;MM-CUAD-PRES-GAL-CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15604;15605;15606;15607;15611;15612;904;18023
MM-CUAD-PRES-GAL-MA;MM-CUAD-PRES-GAL-MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15608;15609;15610;15607;15613;15614;908;18024
CH-CUAD-PRES-GAL-CA;CH-CUAD-PRES-GAL-CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15616;15617;15619;15610;15618;15620;924;18024
CH-CUAD-PRES-GAL-MA;CH-CUAD-PRES-GAL-MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15611;15612;15614;15610;15613;15615;925;18025
CAS-CUAD-PRES-GAL-1CA;CAS-CUAD-PRES-GAL-1CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15584;15585;15587;15578;15586;15588;928;18028
CAS-CUAD-PRES-GAL-1MA;CAS-CUAD-PRES-GAL-1MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15579;15580;15582;15578;15581;15583;929;18029
CAS-CUAD-PRES-GAL-2CA;CAS-CUAD-PRES-GAL-2CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15590;15591;15593;15589;15592;15594;930;18030
CAS-CUAD-PRES-GAL-2MA;CAS-CUAD-PRES-GAL-2MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15595;15596;15598;15589;15597;15599;931;18031
COR-CUAD-PRES-GAL-1MA;COR-CUAD-PRES-GAL-1MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15582;15583;15585;15576;15584;15586;928;18028
COR-CUAD-PRES-GAL-1CA;COR-CUAD-PRES-GAL-1CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15577;15578;15580;15576;15579;15581;929;18029
COR-CUAD-PRES-GAL-2MA;COR-CUAD-PRES-GAL-2MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15593;15594;15596;15587;15595;15597;930;18030
COR-CUAD-PRES-GAL-2CA;COR-CUAD-PRES-GAL-2CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15588;15589;15591;15587;15590;15592;931;18031
COR-CUAD-PRES-GAL-3MA;COR-CUAD-PRES-GAL-3MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15604;15605;15607;15598;15606;15608;932;18032
COR-CUAD-PRES-GAL-3CA;COR-CUAD-PRES-GAL-3CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15599;15600;15602;15598;15601;15603;933;18033
NG-CUAD-PRES-GAL-CA;NG-CUAD-PRES-GAL-CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15593;15594;15596;15592;15595;15597;920;18020
NG-CUAD-PRES-GAL-MA;NG-CUAD-PRES-GAL-MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15598;15599;15601;15592;15600;15602;921;18021
STM2-CUAD-PRES-GAL-CA;STM2-CUAD-PRES-GAL-CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15575;15576;15578;15574;15577;15579;920;18020
STM2-CUAD-PRES-GAL-MA;STM2-CUAD-PRES-GAL-MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15580;15581;15583;15574;15582;15584;921;18021
LQ-CUAD-PRES-GAL-CA;LQ-CUAD-PRES-GAL-CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15642;15643;15645;15641;15644;15646;941;18028
LQ-CUAD-PRES-GAL-MA;LQ-CUAD-PRES-GAL-MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;15642;15643;15645;15641;15644;15646;941;18029
