device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_battery_charge_state(i)
RV-BAT-PCI;RV-BAT-PCI;RV-CTITS;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;10
LQ-BAT-PCI;LQ-BAT-PCI;LQ-PLC-1;192.168.14.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;55
