device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
EST-CONT-A3-SC;EST-CONT-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15500;18000;800;;
EST-CONT-A4-SC;EST-CONT-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15501;18001;801;;
EST-CONT-A8-SM;EST-CONT-A8-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15502;18002;802;;
EST-CONT-A7-SM;EST-CONT-A7-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15503;18003;803;;
EST-CONT-AA1-SC;EST-CONT-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15504;18004;804;;
EST-CONT-AA2-SC;EST-CONT-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15505;18005;805;;
EST-CONT-AA6-SM;EST-CONT-AA6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15506;18006;806;;
EST-CONT-AA5-SM;EST-CONT-AA5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15507;18007;807;;
EST-CONT-AE9-SM;EST-CONT-AE9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15508;18008;808;;
EST-CONT-AE10-SC;EST-CONT-AE10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15509;18009;809;;
EST-CONT-A11-SC;EST-CONT-A11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15512;18012;812;;
EST-CONT-A12-SC;EST-CONT-A12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15513;18013;813;;
EST-CONT-A13-SM;EST-CONT-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15514;18014;814;;
EST-CONT-A14-SM;EST-CONT-A14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-ERU;15515;18015;815;;
