device_name;session_uid;ip;port(i);url_publisher;read_permission;write_permission;offset_primary_node(i);offset_comm_sec(i)
RV-ERU-1-MASTER;RV-ERU-1-MASTER;192.168.11.16;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
RV-ERU-1-SLAVE;RV-ERU-1-SLAVE;192.168.11.17;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
MM-ERU-1-MASTER;MM-ERU-1-MASTER;192.168.12.52;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
MM-ERU-1-SLAVE;MM-ERU-1-SLAVE;192.168.12.53;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
STMI-ERU-1-MASTER;STMI-ERU-1-MASTER;192.168.13.19;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
STMI-ERU-1-SLAVE;STMI-ERU-1-SLAVE;192.168.13.20;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
LQ-ERU-1-MASTER;LQ-ERU-1-MASTER;192.168.14.17;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
LQ-ERU-1-SLAVE;LQ-ERU-1-SLAVE;192.168.14.19;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
CH-ERU-1-MASTER;CH-ERU-1-MASTER;192.168.9.17;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
CH-ERU-1-SLAVE;CH-ERU-1-SLAVE;192.168.9.19;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
CAS-ERU-1-MASTER;CAS-ERU-1-MASTER;192.168.5.145;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
CAS-ERU-1-SLAVE;CAS-ERU-1-SLAVE;192.168.5.2;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
COR-ERU-1-MASTER;COR-ERU-1-MASTER;192.168.15.18;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
COR-ERU-1-SLAVE;COR-ERU-1-SLAVE;192.168.15.19;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
EST-ERU-1-MASTER;EST-ERU-1-MASTER;192.168.16.20;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
EST-ERU-1-SLAVE;EST-ERU-1-SLAVE;192.168.16.21;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
STM2-ERU-1-MASTER;STM2-ERU-1-MASTER;192.168.10.19;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
STM2-ERU-1-SLAVE;STM2-ERU-1-SLAVE;192.168.10.20;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
NG-ERU-1-MASTER;NG-ERU-1-MASTER;192.168.2.102;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
NG-ERU-1-SLAVE;NG-ERU-1-SLAVE;192.168.17.56;39999;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8191;8189
