device_name;session_uid;ip;port(i);read_permission;write_permission;url_publisher
COR-AF-6CA;COR-AF-6CA;192.168.15.48;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CLV-1CA;COR-CLV-1CA;192.168.15.27;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CLV-2CA;COR-CLV-2CA;192.168.15.26;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CLV-3CA;COR-CLV-3CA;192.168.15.34;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CLV-4CA;COR-CLV-4CA;192.168.15.40;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-PMV-17CA;COR-PMV-17CA;192.168.15.25;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-PMVI-1MA;COR-PMVI-1MA;192.168.15.71;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-PMVI-2MA;COR-PMVI-2MA;192.168.15.85;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-PMVI-1CA;COR-PMVI-1CA;192.168.15.30;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-PMVI-2CA;COR-PMVI-2CA;192.168.15.44;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-1MA;STM2-AF-1MA;192.168.10.55;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-2MA;STM2-AF-2MA;192.168.10.54;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-3MA;STM2-AF-3MA;192.168.10.65;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-4MA;STM2-AF-4MA;192.168.10.64;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CLV-1MA;STM2-CLV-1MA;192.168.10.28;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CLV-2MA;STM2-CLV-2MA;192.168.10.27;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CLV-3MA;STM2-CLV-3MA;192.168.10.60;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-1CA;STM2-AF-1CA;192.168.10.30;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-2CA;STM2-AF-2CA;192.168.10.29;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-3CA;STM2-AF-3CA;192.168.10.40;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-AF-4CA;STM2-AF-4CA;192.168.10.39;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CLV-1CA;STM2-CLV-1CA;192.168.10.53;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CLV-2CA;STM2-CLV-2CA;192.168.10.52;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CLV-3CA;STM2-CLV-3CA;192.168.10.35;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-PMVI-1MA;STM2-PMVI-1MA;192.168.10.59;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-PMVI-1CA;STM2-PMVI-1CA;192.168.10.34;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-PMV-16MA;STM2-PMV-16MA;192.168.10.26;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-PMV-19CA;EST-PMV-19CA;192.168.16.26;4004;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-PMV-21CA;NG-PMV-21CA;192.168.0.171;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-PMV-25MA;NG-PMV-25MA;192.168.7.85;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-PMV-26MA;EST-PMV-26MA;192.168.16.42;9735;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-PMV-22MA;EST-PMV-22MA;192.168.16.35;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
GDR-PMV-9MA;GDR-PMV-9MA;192.168.0.97;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
GDR-PMV-10MA;GDR-PMV-10MA;192.168.0.97;4004;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MNV-PMV-11MA;MNV-PMV-11MA;192.168.0.57;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MNV-PMV-13CA;MNV-PMV-13CA;192.168.0.57;4005;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-PMV-18CA;EST-PMV-18CA;192.168.16.41;5200;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
