device_name;session_uid;url_publisher
COR-CSV-B-CA;COR-CSV-B-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CSV-B-MA;COR-CSV-B-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CSA-SAI-B;COR-CSA-SAI-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CSB-ITS1-B;COR-CSB-ITS1-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CSG-3;COR-CSG-3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CSA-BC;COR-CSA-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CSA-BM;COR-CSA-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSA-RED;NG-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSV;NG-CSV;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSA-SAI;NG-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSB-ITS-1;NG-CSB-ITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CS-ITS;NG-CS-ITS;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CS-PCI;NG-CS-PCI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSG-GALERIA;NG-CSG-GALERIA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSB-ITS-2;NG-CSB-ITS-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSV-CA;NG-CSV-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CSV-MA;NG-CSV-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSA-A;CAS-CSA-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CSA-B;CAS-CSA-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CSA;STM2-CSA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
