device_name;session_uid;eru_name;url_publisher;offset_grp_corriente_fase_1(i);offset_grp_corriente_fase_2(i);offset_grp_corriente_fase_3(i);offset_grp_vol_gen_L1_N(i);offset_grp_vol_gen_L2_N(i);offset_grp_vol_gen_L3_N(i);offset_grp_frecuencia_salida(i);offset_grp_horas_tot_marcha(i);offset_grp_kwh(i);offset_grp_rpm_generador(i);offset_grp_tension_bateria(i);offset_grp_tension_salida_gen(i);offset_grp_gas_level(i);offset_grp_temp_rad(i);offset_grp_modo_operacion_off(i);offset_grp_modo_operacion_man(i);offset_grp_modo_operacion_aut(i);offset_grp_alarma_temperatura(i);offset_grp_alarma_general(i);offset_grp_motor_encendido(i);offset_grp_nivel_combust_rsv(i);offset_comm_status(i)
STMI-GEL-1CA;STMI-GEL-1CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;16707;16708;16709;16701;16702;16703;16711;16715;16717;16712;16700;16710;16714;16713;37;38;39;34;32;35;31;36
EST-GEL-BM;EST-GEL-BM;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;16707;16708;16709;16701;16702;16703;16711;16715;16717;16712;16700;16710;16714;16713;37;38;39;34;32;35;31;36
