device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
NG-CONT-A3-SC;NG-CONT-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15544;18000;844;;
NG-CONT-A5-SC;NG-CONT-A5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15545;18001;845;;
NG-CONT-A6-SC;NG-CONT-A6-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15546;18002;846;;
NG-CONT-A8-SC;NG-CONT-A8-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15547;18003;847;;
NG-CONT-A12-SM;NG-CONT-A12-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15548;18004;848;;
NG-CONT-A14-SM;NG-CONT-A14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15549;18005;849;;
NG-CONT-A11-SM;NG-CONT-A11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15550;18006;850;;
NG-CONT-A13-SM;NG-CONT-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15551;18007;851;;
NG-CONT-AA1-SC;NG-CONT-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15552;18008;852;;
NG-CONT-AA2-SC;NG-CONT-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15553;18009;853;;
NG-CONT-AE4-SC;NG-CONT-AE4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15554;18010;854;;
NG-CONT-AA10-SM;NG-CONT-AA10-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15555;18011;855;;
NG-CONT-AE7-SM;NG-CONT-AE7-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15556;18012;856;;
NG-CONT-AA9-SM;NG-CONT-AA9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15557;18013;857;;
NG-CONT-A15-SC;NG-CONT-A15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15558;18016;858;;
NG-CONT-A16-SM;NG-CONT-A16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15559;18017;859;;
NG-CONT-A1-SC;NG-CONT-A1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15578;18018;878;;
NG-CONT-A2-SM;NG-CONT-A2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-ERU;15579;18019;879;;
