device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
STM2-CONT-A9-SC;STM2-CONT-A9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15530;18000;830;;
STM2-CONT-A11-SC;STM2-CONT-A11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15531;18001;831;;
STM2-CONT-A10-SC;STM2-CONT-A10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15532;18002;832;;
STM2-CONT-A12-SC;STM2-CONT-A12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15533;18003;833;;
STM2-CONT-A4-SM;STM2-CONT-A4-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15534;18004;834;;
STM2-CONT-A6-SM;STM2-CONT-A6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15535;18005;835;;
STM2-CONT-A3-SM;STM2-CONT-A3-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15536;18006;836;;
STM2-CONT-A5-SM;STM2-CONT-A5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15537;18007;837;;
STM2-CONT-AA7-SC;STM2-CONT-AA7-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15538;18008;838;;
STM2-CONT-AA8-SC;STM2-CONT-AA8-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15539;18009;839;;
STM2-CONT-AA2-SM;STM2-CONT-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15540;18010;840;;
STM2-CONT-AA1-SM;STM2-CONT-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15541;18011;841;;
STM2-CONT-AE13-SM;STM2-CONT-AE13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15542;18012;842;;
STM2-CONT-AE14-SC;STM2-CONT-AE14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15543;18013;843;;
STM2-CONT-AE15-SC;STM2-CONT-AE15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15544;18014;844;;
STM2-CONT-AE16-SM;STM2-CONT-AE16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15545;18015;845;;
STM2-CONT-A15-SC;STM2-CONT-A15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15546;18016;846;;
STM2-CONT-A16-SC;STM2-CONT-A16-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15547;18017;847;;
STM2-CONT-A17-SM;STM2-CONT-A17-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15548;18018;848;;
STM2-CONT-A18-SM;STM2-CONT-A18-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-ERU;15549;18019;849;;
