device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_tank_capacity(i)
RV-DALJ-1;RV-DALJ-1;RV-CTITS;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;4
MM-DALJ-1;MM-DALJ-1;MM-CTITS;192.168.12.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;2
LQ-DALJ-1;LQ-DALJ-1;LQ-PLCL-1;192.168.14.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;2
CAS-DALJ-1;CAS-DALJ-1;CAS-PLCL-BC;192.168.5.130;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;2
CH-DALJ-1;CH-DALJ-1;CH-PLCL-1;192.168.9.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;2
COR-DALJ-1;COR-DALJ-1;COR-PLCL-BC;192.168.15.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;2
NG-DALJ-1;NG-DALJ-1;NG-PLC-CT-ITS-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
