device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_alarm_low_level(i)
RV-DEP-TRASIEGO;RV-DEP-TRASIEGO;RV-CTGBT;192.168.11.38;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;34
MM-DEP-TRASIEGO;MM-DEP-TRASIEGO;MM-PLC-CGBT;192.168.12.54;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;154
CAS-DEP-TRASIEGO-BM;CAS-DEP-TRASIEGO-BM;CAS-PLCL-BM;192.168.5.186;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;61
CAS-DEP-TRASIEGO-BC;CAS-DEP-TRASIEGO-BC;CAS-PLC-CGBT-BC;192.168.5.131;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;107
CH-DEP-TRASIEGO;CH-DEP-TRASIEGO;CH-PLC-CGBT;192.168.9.11;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;163
NG-DEP-TRASIEGO;NG-DEP-TRASIEGO;NG-PLCL-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;59
LQ-DEP-TRASIEGO;LQ-DEP-TRASIEGO;LQ-PLCL-1;192.168.14.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;62
STM2-DEP-TRASIEGO;STM2-DEP-TRASIEGO;STM2-PLCL-BC;192.168.10.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;57
COR-DEP-TRASIEGO-BM;COR-DEP-TRASIEGO-BM;COR-PLCL-BC;192.168.15.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;62
COR-DEP-TRASIEGO-BC;COR-DEP-TRASIEGO-BC;COR-PLCL-BM;192.168.15.56;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;62
