device_name;session_uid;url_publisher;host;zone_name
RV-CT-FIRE-DET-1;RV-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.19;RV-CT-ITS-HUM-1
MM-CT-FIRE-DET-1;MM-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.19;MM-CT-ITS-HUM-1
STMI-CT-FIRE-DET-1;STMI-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.22;STMI-CT-ITS-HUM-1
CAS-CT-FIRE-DET-BC;CAS-CT-FIRE-DET-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.148;CAS-CT-ITS-BC-HUM-1
CAS-CT-FIRE-DET-BM;CAS-CT-FIRE-DET-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.192;CAS-CT-ITS-BM-HUM-1
CH-CT-FIRE-DET-1;CH-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.9.21;CH-CT-CGBT-HUM-1
EST-CT-FIRE-DET-1;EST-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.16.22;EST-CT-ITS-HUM-1
STM2-CT-FIRE-DET-1;STM2-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.10.21;STM2-CT-ITS-HUM-1
LQ-CT-FIRE-DET-1;LQ-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.21;LQ-CT-ITS-HUM-1
NG-CT-FIRE-DET-1;NG-CT-FIRE-DET-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.17.57;NG-CT-ITS-HUM-1
COR-CT-FIRE-DET-BM;COR-CT-FIRE-DET-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.15.62;COR-CT-IT-BM-HUM-1
COR-CT-FIRE-DET-BC;COR-CT-FIRE-DET-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.15.21;COR-CT-IT-BC-HUM-1
