device_name;session_uid;PLC_name;det_name;det_order;PLC_ip;url_publisher;PLC_port(i);num_polling_out_comm;time_polling_ms;read_permission;write_permission
STMI-ETD-1MA;STMI-ETD-1MA;PLC_STMI-ETD-1MA;STMI-SEC-1-DET-1MA-IN;1;192.168.13.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
STMI-ETD-1MA;STMI-ETD-1MA;PLC_STMI-ETD-1MA;STMI-SEC-1-DET-2MA-IN;2;192.168.13.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
STMI-ETD-1MA;STMI-ETD-1MA;PLC_STMI-ETD-1MA;STMI-SEC-2-DET-3CA-OUT;3;192.168.13.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
STMI-ETD-1MA;STMI-ETD-1MA;PLC_STMI-ETD-1MA;STMI-SEC-2-DET-4CA-OUT;4;192.168.13.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1CA;MM-ETD-1CA;PLC_MM-ETD-1CA;MM-SEC-1-DET-1CA-IN;1;192.168.12.39;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1CA;MM-ETD-1CA;PLC_MM-ETD-1CA;MM-SEC-1-DET-2CA-IN;2;192.168.12.39;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1CA;MM-ETD-1CA;PLC_MM-ETD-1CA;MM-SEC-2-DET-3MA-OUT;3;192.168.12.39;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1CA;MM-ETD-1CA;PLC_MM-ETD-1CA;MM-SEC-2-DET-4MA-OUT;4;192.168.12.39;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1MA;MM-ETD-1MA;PLC_MM-ETD-1MA;MM-SEC-1-DET-1MA-IN;1;192.168.12.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1MA;MM-ETD-1MA;PLC_MM-ETD-1MA;MM-SEC-1-DET-2MA-IN;2;192.168.12.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1MA;MM-ETD-1MA;PLC_MM-ETD-1MA;MM-SEC-2-DET-3CA-OUT;3;192.168.12.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
MM-ETD-1MA;MM-ETD-1MA;PLC_MM-ETD-1MA;MM-SEC-2-DET-4CA-OUT;4;192.168.12.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1CA;LQ-ETD-1CA;PLC_LQ-ETD-1CA;LQ-SEC-1-DET-1CA-INC;1;192.168.14.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1CA;LQ-ETD-1CA;PLC_LQ-ETD-1CA;LQ-SEC-1-DET-2CA-IN;2;192.168.14.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1CA;LQ-ETD-1CA;PLC_LQ-ETD-1CA;LQ-SEC-2-DET-3MA-OUT;3;192.168.14.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1CA;LQ-ETD-1CA;PLC_LQ-ETD-1CA;LQ-SEC-2-DET-4MA-OUT;4;192.168.14.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1MA;LQ-ETD-1MA;PLC_LQ-ETD-1MA;LQ-SEC-1-DET-1MA-IN;1;192.168.14.44;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1MA;LQ-ETD-1MA;PLC_LQ-ETD-1MA;LQ-SEC-1-DET-2MA-IN;2;192.168.14.44;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1MA;LQ-ETD-1MA;PLC_LQ-ETD-1MA;LQ-SEC-2-DET-3CA-OUT;3;192.168.14.44;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
LQ-ETD-1MA;LQ-ETD-1MA;PLC_LQ-ETD-1MA;LQ-SEC-2-DET-4CA-OUT;4;192.168.14.44;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1CA;CH-ETD-1CA;PLC_CH-ETD-1CA;CH-SEC-1-DET-1CA-IN;1;192.168.9.41;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1CA;CH-ETD-1CA;PLC_CH-ETD-1CA;CH-SEC-1-DET-2CA-IN;2;192.168.9.41;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1CA;CH-ETD-1CA;PLC_CH-ETD-1CA;CH-SEC-2-DET-3MA-OUT;3;192.168.9.41;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1CA;CH-ETD-1CA;PLC_CH-ETD-1CA;CH-SEC-2-DET-4MA-OUT;4;192.168.9.41;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1MA;CH-ETD-1MA;PLC_CH-ETD-1MA;CH-SEC-1-DET-1MA-IN;1;192.168.9.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1MA;CH-ETD-1MA;PLC_CH-ETD-1MA;CH-SEC-1-DET-2MA-IN;2;192.168.9.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1MA;CH-ETD-1MA;PLC_CH-ETD-1MA;CH-SEC-2-DET-3CA-OUT;3;192.168.9.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
CH-ETD-1MA;CH-ETD-1MA;PLC_CH-ETD-1MA;CH-SEC-2-DET-4CA-OUT;4;192.168.9.24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1CA;EST-ETD-1CA;PLC_EST-ETD-1CA;EST-SEC-1-DET-1CA-IN;1;192.168.16.32;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1CA;EST-ETD-1CA;PLC_EST-ETD-1CA;EST-SEC-1-DET-2CA-IN;2;192.168.16.32;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1CA;EST-ETD-1CA;PLC_EST-ETD-1CA;EST-SEC-2-DET-3MA-OUT;3;192.168.16.32;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1CA;EST-ETD-1CA;PLC_EST-ETD-1CA;EST-SEC-2-DET-4MA-OUT;4;192.168.16.32;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1MA;EST-ETD-1MA;PLC_EST-ETD-1MA;EST-SEC-1-DET-1MA-IN;1;192.168.16.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1MA;EST-ETD-1MA;PLC_EST-ETD-1MA;EST-SEC-1-DET-2MA-IN;2;192.168.16.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1MA;EST-ETD-1MA;PLC_EST-ETD-1MA;EST-SEC-2-DET-3CA-OUT;3;192.168.16.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
EST-ETD-1MA;EST-ETD-1MA;PLC_EST-ETD-1MA;EST-SEC-2-DET-4CA-OUT;4;192.168.16.16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
