device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
CAS-MAGDIF-BF13.3-A;CAS-MAGDIF-BF13.3-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;21;monitor;
CAS-MAGDIF-BF13.2-A;CAS-MAGDIF-BF13.2-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;20;monitor;
CAS-MAGDIF-BF14.1-A;CAS-MAGDIF-BF14.1-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;22;monitor;
CAS-MAGDIF-BF14.2-A;CAS-MAGDIF-BF14.2-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;23;monitor;
CAS-MAGDIF-BF14.3-A;CAS-MAGDIF-BF14.3-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;24;monitor;
CAS-MAGDIF-BF15-A;CAS-MAGDIF-BF15-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;25;monitor;
CAS-MAGDIF-OP-VODAFONE-A;CAS-MAGDIF-OP-VODAFONE-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;27;monitor;
CAS-MAGDIF-BF19-A;CAS-MAGDIF-BF19-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;28;monitor;
CAS-MAGDIF-BF20-A;CAS-MAGDIF-BF20-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;29;monitor;
CAS-MAGDIF-BF21-A;CAS-MAGDIF-BF21-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;30;monitor;
CAS-MAGDIF-BF22-A;CAS-MAGDIF-BF22-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;31;monitor;
CAS-MAGDIF-BF23-A;CAS-MAGDIF-BF23-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;32;monitor;
CAS-MAGDIF-BF24-A;CAS-MAGDIF-BF24-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;33;monitor;
CAS-MAGDIF-BF25-A;CAS-MAGDIF-BF25-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;34;monitor;
CAS-MAGDIF-BF26-A;CAS-MAGDIF-BF26-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;35;monitor;
CAS-MAGDIF-BF27-A;CAS-MAGDIF-BF27-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;36;monitor;
CAS-MAGDIF-BF28-A;CAS-MAGDIF-BF28-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;37;monitor;
