device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_gate_open(i)
MM-PTA1-GAL;MM-PTA1-GAL;MM-PLCG-CA;192.168.12.35;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
MM-PTA2-GAL;MM-PTA2-GAL;MM-PLCG-CA;192.168.12.35;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;2
CH-PTA1-GAL;CH-PTA1-GAL;CH-PLCG-CA;192.168.9.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;27
CH-PTA2-GAL;CH-PTA2-GAL;CH-PLCG-CA;192.168.9.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;26
LQ-PTA1-GAL;LQ-PTA1-GAL;LQ-PLCG-CA;192.168.14.40;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
LQ-PTA2-GAL;LQ-PTA2-GAL;LQ-PLCG-CA;192.168.14.40;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;0
COR-PTA1-GAL;COR-PTA1-GAL;COR-PLC-ARM-GAL-1;192.168.15.50;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;0
COR-PTA2-GAL;COR-PTA2-GAL;COR-PLC-ARM-GAL-1;192.168.15.50;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
COR-PTA3-GAL;COR-PTA3-GAL;COR-PLC-ARM-GAL-2;192.168.15.52;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;0
COR-PTA4-GAL;COR-PTA4-GAL;COR-PLC-ARM-GAL-2;192.168.15.52;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
COR-PTA5-GAL;COR-PTA5-GAL;COR-PLC-ARM-GAL-3;192.168.15.54;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;0
COR-PTA6-GAL;COR-PTA6-GAL;COR-PLC-ARM-GAL-3;192.168.15.54;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
STM2-PTA1-GAL;STM2-PTA1-GAL;STM2-PLCG-CA;192.168.10.44;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;0
STM2-PTA2-GAL;STM2-PTA2-GAL;STM2-PLCG-CA;192.168.10.44;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
NG-PTA1-GAL;NG-PTA1-GAL;NG-PLCG1-CA;192.168.17.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;0
NG-PTA2-GAL;NG-PTA2-GAL;NG-PLCG1-CA;192.168.17.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
CAS-PTA1-GAL;CAS-PTA1-GAL;CAS-PLC-ARM-GAL-1;192.168.5.182;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;0
CAS-PTA2-GAL;CAS-PTA2-GAL;CAS-PLC-ARM-GAL-1;192.168.5.182;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;1
CAS-PTA3-GAL;CAS-PTA3-GAL;CAS-PLC-ARM-GAL-2;192.168.5.184;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;29
CAS-PTA4-GAL;CAS-PTA4-GAL;CAS-PLC-ARM-GAL-2;192.168.5.184;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;30
