device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
STMI-CONT-AA1-SC;STMI-CONT-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15502;18000;802;;
STMI-CONT-AA2-SC;STMI-CONT-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15503;18001;803;;
STMI-CONT-AA6-SM;STMI-CONT-AA6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15504;18002;804;;
STMI-CONT-AA7-SM;STMI-CONT-AA7-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15505;18003;805;;
STMI-CONT-AE5-SC;STMI-CONT-AE5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15506;18004;806;;
STMI-CONT-AE10-SM;STMI-CONT-AE10-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15507;18005;807;;
STMI-CONT-AE11-SM;STMI-CONT-AE11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15508;18006;808;;
STMI-CONT-AE12-SC;STMI-CONT-AE12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15509;18007;809;;
STMI-CONT-A11;STMI-CONT-A11;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15510;18008;810;;
STMI-CONT-A12;STMI-CONT-A12;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15511;18009;811;;
STMI-CONT-A13;STMI-CONT-A13;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15512;18010;812;;
STMI-CONT-A14;STMI-CONT-A14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15513;18011;813;;
STMI-CONT-A3-SC;STMI-CONT-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15514;18012;814;;
STMI-CONT-A4-SC;STMI-CONT-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15515;18013;815;;
STMI-CONT-A8-SM;STMI-CONT-A8-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15516;18014;816;;
STMI-CONT-A9-SM;STMI-CONT-A9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STMI-ERU;15517;18015;817;;
