device_name;session_uid;url_publisher;host;zone_name
RV-OTS-1;RV-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.12;RV-ZI-1CA
MM-OTS-1;MM-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.12;MM-ZI-1CA
STMI-OTS-1;STMI-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.14;STMI-ZI-1CA
CAS-OTS-1;CAS-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.134;CAS-ZI-1CA
CH-OTS-1;CH-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.9.14;CH-ZI-1CA
EST-OTS-1;EST-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.16.14;EST-ZI-1CA
STM2-OTS-1;STM2-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.10.14;STM2-ZI-1CA
LQ-OTS-1;LQ-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.14;LQ-ZI-1CA
NG-OTS-1;NG-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.17.52;NG-ZI-1CA
COR-OTS-1;COR-OTS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.15.14;COR-ZI-1CA
