item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;RM-RFID-001;Sistema de lectura RFID;RM-RFID-001;RUTA-LA-MINA;S1S1;S1S1;2+285;;;
2;RM-RFID-002;Sistema de lectura RFID;RM-RFID-002;RUTA-LA-MINA;S1S1;S1S1;2+500;;;
3;RM-RFID-003;Sistema de lectura RFID;RM-RFID-003;RUTA-LA-MINA;S1S1;S1S1;2+600;;;
4;RM-RFID-004;Sistema de lectura RFID;RM-RFID-004;RUTA-LA-MINA;S1S1;S1S1;62+400;;;
5;RM-RFID-005;Sistema de lectura RFID;RM-RFID-005;RUTA-LA-MINA;S1S1;S1S1;62+400;;;
6;RM-RFID-006;Sistema de lectura RFID;RM-RFID-006;RUTA-LA-MINA;S1S1;S1S1;62+550;;;
7;RM-RFID-007;Sistema de lectura RFID;RM-RFID-007;RUTA-LA-MINA;S1S1;S1S1;62+550;;;
8;RM-RFID-008;Sistema de lectura RFID;RM-RFID-008;RUTA-LA-MINA;S1S1;S1S1;62+650;;;
9;RM-RFID-009;Sistema de lectura RFID;RM-RFID-009;RUTA-LA-MINA;S1S1;S1S1;90+960;;;
10;RM-RFID-010;Sistema de lectura RFID;RM-RFID-010;RUTA-LA-MINA;S1S1;S1S1;90+960;;;
11;RM-RFID-011;Sistema de lectura RFID;RM-RFID-011;RUTA-LA-MINA;S1S1;S1S1;102+380;;;
12;RM-RFID-012;Sistema de lectura RFID;RM-RFID-012;RUTA-LA-MINA;S1S1;S1S1;102+380;;;
13;RM-RFID-013;Sistema de lectura RFID;RM-RFID-013;RUTA-LA-MINA;S1S1;S1S1;106+100;;;
14;RM-RFID-014;Sistema de lectura RFID;RM-RFID-014;RUTA-LA-MINA;S1S1;S1S1;106+100;;;
15;RM-RFID-015;Sistema de lectura RFID;RM-RFID-015;RUTA-LA-MINA;S1S1;S1S1;106+240;;;
16;RM-RFID-016;Sistema de lectura RFID;RM-RFID-016;RUTA-LA-MINA;S1S1;S1S1;106+240;;;
17;RM-RFID-017;Sistema de lectura RFID;RM-RFID-017;RUTA-LA-MINA;S1S1;S1S1;130+020;;;
18;RM-RFID-018;Sistema de lectura RFID;RM-RFID-018;RUTA-LA-MINA;S1S1;S1S1;130+160;;;
19;RM-RFID-019;Sistema de lectura RFID;RM-RFID-019;RUTA-LA-MINA;S1S1;S1S1;137+260;;;
20;RM-RFID-020;Sistema de lectura RFID;RM-RFID-020;RUTA-LA-MINA;S1S1;S1S1;137+260;;;
21;RM-RFID-021;Sistema de lectura RFID;RM-RFID-021;RUTA-LA-MINA;S1S1;S1S1;137+440;;;
22;RM-RFID-022;Sistema de lectura RFID;RM-RFID-022;RUTA-LA-MINA;S1S1;S1S1;137+440;;;
