Parent_type;Child_type;Parent;Child;child_inheritable_state_id
51;3;1;1;
51;3;1;2;
51;3;1;3;
51;3;2;4;
51;3;2;5;
51;3;2;6;
51;3;3;7;
51;3;3;8;
51;3;3;9;
51;3;4;10;
51;3;4;11;
51;3;4;12;
51;3;5;13;
51;3;5;14;
51;3;5;15;
4;3;1;1;
4;3;1;2;
4;3;1;3;
4;3;2;4;
4;3;2;5;
4;3;2;6;
4;3;3;7;
4;3;3;8;
4;3;3;9;
4;3;4;10;
4;3;4;11;
4;3;4;12;
4;3;5;13;
4;3;5;14;
4;3;5;15;
51;3;11;16;
51;3;11;17;
51;3;11;18;
51;3;9;19;
51;3;9;20;
51;3;9;21;
51;3;7;22;
51;3;7;23;
51;3;7;24;
51;3;6;25;
51;3;6;26;
51;3;6;27;
51;3;19;28;
51;3;19;29;
51;3;19;30;
51;3;17;31;
51;3;17;32;
51;3;17;33;
51;3;15;34;
51;3;15;35;
51;3;15;36;
51;3;13;37;
51;3;13;38;
51;3;13;39;
4;3;11;16;
4;3;11;17;
4;3;11;18;
4;3;9;19;
4;3;9;20;
4;3;9;21;
4;3;7;22;
4;3;7;23;
4;3;7;24;
4;3;6;25;
4;3;6;26;
4;3;6;27;
4;3;19;28;
4;3;19;29;
4;3;19;30;
4;3;17;31;
4;3;17;32;
4;3;17;33;
4;3;15;34;
4;3;15;35;
4;3;15;36;
4;3;13;37;
4;3;13;38;
4;3;13;39;
51;3;14;42;
51;3;14;43;
51;3;14;44;
51;3;16;45;
51;3;16;46;
51;3;16;47;
51;3;18;48;
51;3;18;49;
51;3;18;50;
51;3;8;51;
51;3;8;52;
51;3;8;53;
51;3;10;54;
51;3;10;55;
51;3;10;56;
51;3;12;57;
51;3;12;58;
51;3;12;59;
4;3;14;42;
4;3;14;43;
4;3;14;44;
4;3;16;45;
4;3;16;46;
4;3;16;47;
4;3;18;48;
4;3;18;49;
4;3;18;50;
4;3;8;51;
4;3;8;52;
4;3;8;53;
4;3;10;54;
4;3;10;55;
4;3;10;56;
4;3;12;57;
4;3;12;58;
4;3;12;59;
