item;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model;param3_flip
1;AN-1-01-CE;AN-1-01-CE;AN-1-01-CE;Autovía A-44;La Cerradura;;Granada;;;false
2;AN-2-01-CE;AN-2-01-CE;AN-2-01-CE;Autovía A-44;La Cerradura;;Jaén;;;true
