item;element_subtype;alias;description;sessionuid;road;secc;stretchs;dm;pk;sentido
1;1;Reset_tunel;Reset_tunel;Reset_tunel;AVO;;;;;
2;1;CT-1;CT-1;CT-1;AVO;S1TS-ZON-001;Secc.01-10-01;620;36+920;
3;1;CT-2;CT-2;CT-2;AVO;S1TS-ZON-012;Secc.01-10-02;1748;38+048;
4;1;CT-3;CT-3;CT-3;AVO;S1TS-ZON-021;Secc.01-10-03;2715;39+015;
5;1;CT-4;CT-4;CT-4;AVO;S2TS-ZON-008;Secc.02-10-04;4070;40+370;
6;1;CT-5;CT-5;CT-5;AVO;S2TN-ZON-032;Secc.03-11-11;5115;41+415;
7;1;CT-6;CT-6;CT-6;AVO;S2TN-ZON-021;Secc.03-11-10;6280;42+580;
8;1;CT-7;CT-7;CT-7;AVO;S2TN-ZON-043;Secc.03-11-11;7220;43+520;
9;1;CT-8;CT-8;CT-8;AVO;S2TS-ZON-049;Secc.02-10-07;8220;44+520;
