item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model
1;SCO-1-01-DP;SCO-1-01-DP;SCO-1-01-DP;Autovía A-4;Despeñaperros;248+200;Madrid;SendValuesToVentilation.groovy;Duran;Sondeltox
2;SCO-1-02-DP;SCO-1-02-DP;SCO-1-02-DP;Autovía A-4;Despeñaperros;247+700;Madrid;SendValuesToVentilation.groovy;Duran;Sondeltox
3;SCO-1-03-DP;SCO-1-03-DP;SCO-1-03-DP;Autovía A-4;Despeñaperros;247+300;Madrid;SendValuesToVentilation.groovy;Duran;Sondeltox
4;SCO-1-04-DP;SCO-1-04-DP;SCO-1-04-DP;Autovía A-4;Despeñaperros;246+600;Madrid;SendValuesToVentilation.groovy;Duran;Sondeltox
5;SCO-2-01-DP;SCO-2-01-DP;SCO-2-01-DP;Autovía A-4;Despeñaperros;247;Córdoba;SendValuesToVentilation.groovy;Duran;Sondeltox
6;SCO-2-02-DP;SCO-2-02-DP;SCO-2-02-DP;Autovía A-4;Despeñaperros;247+400;Córdoba;SendValuesToVentilation.groovy;Duran;Sondeltox
7;SCO-2-03-DP;SCO-2-03-DP;SCO-2-03-DP;Autovía A-4;Despeñaperros;247+800;Córdoba;SendValuesToVentilation.groovy;Duran;Sondeltox
8;SCO-2-04-DP;SCO-2-04-DP;SCO-2-04-DP;Autovía A-4;Despeñaperros;248+200;Córdoba;SendValuesToVentilation.groovy;Duran;Sondeltox
9;SCO-1-01-CA;SCO-1-01-CA;SCO-1-01-CA;Autovía A-4;La Cantera;;Madrid;SendValuesToVentilation.groovy;Duran;Sondeltox
10;SCO-2-01-CA;SCO-2-01-CA;SCO-2-01-CA;Autovía A-4;La Cantera;;Córdoba;SendValuesToVentilation.groovy;Duran;Sondeltox
11;SCO-1-01-CZ;SCO-1-01-CZ;SCO-1-01-CZ;Autovía A-4;El Corzo;;Madrid;SendValuesToVentilation.groovy;Duran;Sondeltox
12;SCO-2-01-CZ;SCO-2-01-CZ;SCO-2-01-CZ;Autovía A-4;El Corzo;;Córdoba;SendValuesToVentilation.groovy;Duran;Sondeltox
