id;alias;type
716;E17;1
717;E18;1
718;E19;1
719;E20;1
720;E21;1
721;E22;1
722;E23;1
723;E24;1
724;E25;1
725;E26;1
726;E27;1
727;E28;1
728;E29;1
729;E30;1
730;E31;1
731;E32;1
732;E33;1
733;E34;1
734;E35;1
735;E36;1
736;E37;1
737;E38;1
738;E39;1
739;E40;1
740;E41;1
741;E42;1
742;E43;1
743;E44;1
744;E45;1
745;E46;1
746;E47;1
747;E48;1
748;E50;1
749;E51;1
750;E52;1
801;S100;1
802;S101;1
803;S102;1
804;S103;1
805;S104;1
806;S105;1
807;S106;1
808;S107;1
809;S108;1
810;S109;1
811;S110;1
812;S111;1
813;S112;1
814;S113;1
815;S114;1
816;S115;1
817;S116;1
818;S117;1
819;S118;1
820;S119;1
821;S120;1
822;S121;1
823;S122;1
824;S123;1
825;S124;1
826;S125;1
827;S126;1
851;S900;1
852;BRRoA;1
853;BRRoCZ;1
854;BRRoH;1
855;BRRoD1;1
856;BRRoD2;1
857;BRRoD4;1
858;BRRoR7;1
859;BRWeCl;1
860;BRRo;1
861;BRCa;1
862;snow;1
1001;P1O;1
1002;P1aO;1
1003;P1bO;1
1004;P1cO;1
1005;P1dO;1
1006;P2O;1
1007;P3O;1
1008;P4O;1
1022;P13aO;1
1023;P13bO;1
1024;P14aO;1
1025;P14bO;1
1026;P15O;1
1027;P15aO;1
1028;P15bO;1
1029;P16a4O;1
1030;P16a5O;1
1031;P16a6O;1
1032;P16a7O;1
1033;P16a8O;1
1034;P16a9O;1
1035;P16a10O;1
1036;P16a11O;1
1037;P16a12O;1
1038;P16a13O;1
1039;P16a14O;1
1040;P16a15O;1
1041;P16a16O;1
1042;P16a17O;1
1043;P16a18O;1
1044;P16a19O;1
1045;P16a20O;1
1046;P16b4O;1
1047;P16b5O;1
1048;P16b6O;1
1049;P16b7O;1
1050;P16b8O;1
1051;P16b9O;1
1052;P16b10O;1
1053;P16b11O;1
1054;P16b12O;1
1055;P16b13O;1
1056;P16b14O;1
1057;P16b15O;1
1058;P16b16O;1
1059;P16b17O;1
1060;P16b18O;1
1061;P16b19O;1
1062;P16b20O;1
1063;P17O;1
1064;P17aO;1
1065;P17bO;1
1066;P18O;1
1067;P19O;1
1073;P25O;1
1074;P26O;1
1076;P28O;1
1079;P30O;1
1085;P50O;1
1155;R5O;1
1201;R100O;1
1203;R102O;1
1204;R103O;1
1205;R104O;1
1206;R105O;1
1207;R106O;1
1208;R1076tO;1
1209;R1078tO;1
1210;R10710tO;1
1251;R200O;1
1252;R2013t5O;1
1253;R2014tO;1
1254;R2016tO;1
1255;R2018tO;1
1256;R2042mO;1
1257;R2042m5O;1
1258;R2043mO;1
1259;R2043m5O;1
1260;R2044mO;1
1261;R2044m5O;1
1262;R2045mO;1
1263;R2053mO;1
1264;R2053m1O;1
1265;R2053m2O;1
1266;R2053m3O;1
1267;R2053m4O;1
1268;R2053m5O;1
1269;R2053m6O;1
1270;R2053m7O;1
1271;R2053m8O;1
1272;R2053m9O;1
1273;R2054mO;1
1274;R2054m1O;1
1275;R2054m2O;1
1276;R2054m3O;1
1277;R2054m4O;1
1278;R2054m5O;1
1279;R2054m6O;1
1280;R2054m7O;1
1281;R2054m8O;1
1282;R2054m9O;1
1283;R2055mO;1
1284;R2055m1O;1
1285;R2055m2O;1
1286;R2055m3O;1
